comment_id,verdict,corrected_category,reason,_cat,_text,_m_vulgar,_m_miso,_m_threat,_m_sexual
C000244,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Evanuggada antha 9.4 k dislikes uh?!!!,,,,
C000247,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Dei ennada views ah pause panni vachu irukkeenga,,,,
C000254,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,1:34 nan kooda advertisement nu ninachean,,,,
C000255,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Mallad luccha fans nimma luccha suderpdu movie nodo Ella flop agtive side actor get fit baavali age eddane balegaara correctagi tindu barlike hell baavali🤣🤣,,,,
C000257,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Don't breath Remake nu sonavanuga ellam line la va .. !!,,,,
C000269,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Dislike panavangaluku last la varum dialogue Dan correct,,,,
C000272,Correct,,vulgar/rude insult present,Offensive,Vijay fans eppovum pola avanga velaya kaaturanga.. Thu porama pudichavanga,\bthu+\b,,,
C000298,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Sarkar Vida milion Times semma,,,,
C000301,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Marketing sariyaagi maadrappa istondu olle movie ge ingadre henge very imp marketing,,,,
C000305,Wrong,Safe,"mild/neutral comment, no insult",Offensive,50 k views 93 k likes Aaa yenada utube vachrukinga,,,,
C000309,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Nuv pani cheira babu mundu eppudu vere malla meda padi edustav,,,,
C000310,Wrong,Safe,"mild/neutral comment, no insult",Offensive,pataya kelapitaru enga thalapathy ajith fans savungada...sethuolingada....,,,,
C000313,Wrong,Safe,"mild/neutral comment, no insult",Offensive,oodumbule THALA thanda main .....mutta passungala..,,,,
C000318,Wrong,Safe,"mild/neutral comment, no insult",Offensive,🤔இப்போ மட்டும் இளையராஜா Sir-கு இது Beethoven's Symphony-னு தெரிலயா ? 🤔சொந்தமா போடலாம்ல ! உங்களுக்கு வந்தா மட்டும் இரத்தம்! மத்தவனுக்கு வந்தா தக்காளி சட்னி யா ? நல்லாருக்குப்பா உங்க நியாயம்,,,,
C000326,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,திமுக தலைவர் கருணாநிதி அவர்ருக்கு மட்டும்இரவு 12மணிக்கு நீ மன்றம் இயங்கும் போது திரெளபதி படத்துக்குஏன் நீ மன்றம்தூங்குகிறது எந்த ஒரு பதிலும் சொல்லவில்லை பணம் இருந்தால் பதவி இருந்தால் மட்டுமே நீ மன்றம் இயங்குமா,,,,
C000330,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"எந்த ஜாதிக்காரன் இப்படி பண்ணுறானோ ( அதையும் மேடையிலேயே சொல்லுறானோ ) அவனைத்தானே காரி துப்புறாங்க,, இதுக்கு எதுக்கு பொங்குறீங்க?",,,,
C000331,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Thirubi vannenu sollada rejinidaaaaaaa,,,,
C000332,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Na bochulo tv news hmtv fake vedio,,,,
C000334,Correct,,vulgar/rude insult present,Offensive,படம் வெற்றி பெற வாழ்த்துகள் மோகன் ஜி bro நாடக காதலுக்கு சொம்பு தூக்கும் திருமா ரஞ்ஜித் இவனுகளுக்கு தகுந்த செருப்படி,செருப்படி,,,
C000340,Wrong,Safe,"mild/neutral comment, no insult",Offensive,so you against rajni ..... great jayam ravi,,,,
C000341,Wrong,Safe,"mild/neutral comment, no insult",Offensive,இந்தப் piano bgm ஏதோ விளம்பரத்தில் கேட்ட மாதிரி இருக்கு... அது எந்த Add....? எதாவது purpose சோட தான் அந்த Bgm பயன்படுத்தி உள்ளனரா?,,,,
C000357,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ನಮ್ಮ ದೇಶದ ನಂತರ ಅವರಿಗೆ ಸ್ವತಂತ್ರ ಸಿಕ್ಕಿರುವುದು ಅವರೇಕೆ ಅಷ್ಟು ಮುಂದುವರೆದರು nnನಮ್ಮ ದೇಶ ಕಾಂಗ್ರೆಸ್ ಹಂದಿಗಳು ಯಾಕೆ ಉದ್ಧಾರ ಮಾಡಲಿಲ್ಲ,,,,
C000358,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ಕಮೂನಿಷ್ಟ ಸರ್ಕಾರವೇ ಒಳ್ಳೆಯದು ಅಲ್ಲಿ ರಾಜಕೀಯ ಇರಲ್ಲ ದೇಶದ ಅಭಿವೃದ್ಧಿ ಒಂದೇ ಗುರಿnನಮ್ಮ ದೇಶದ ಈ ಸ್ಥಿತಿಗೆ ಕಾರಣnn* ರಾಜಕಾರಣಿಯರು(ನೆಹರೂ ವಂಶಸ್ಥರು),,,,
C000367,Wrong,Sexual Harassment,sexualized comment about a person,Offensive,ARE U A VIRGIN?,,,,\bvirgin\?
C000369,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Hero ah fraud ah crct ah solunga,,,,
C000378,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,"TV9: moddalo ethics, nijathyi ni memu pattinchamu",\bmodda,,,
C000381,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Adhi nuv ekkuvachaiku ra kojja,\bkojja,,,
C000382,Wrong,Safe,"mild/neutral comment, no insult",Offensive,"Ena bigiloda release panni floap ayurumunu bayama irukaa,floap aanalum nenja nimirndhu dhaiyriyama edhirthu floap aaganum",,,,
C000386,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,அடப்பாவமே....எல்லா நடிகர்களும் போராட்டம் போராட்டம் என திரையில் வசனம் பேசத் துவங்கிவிட்டனர்... ஆனால் இந்த ஹீரோக்கள் சூப்பர்மேன்போல சமூக பிரச்சினைகளை திரையில் சமாளிப்பர். இதை பார்த்து இளைஞர்கள் அவர்களும் ஒரு சூப்பர் ஹீரோக்களாகவே உணர்வர். அதனால் சிறு சிறு சமூக உதவிகள் செய்வதில் பலனில்லை என அவர்கள் மனதில் பதியவைக்கிறது திரைப்படங்கள். உண்மையான போராட்டம் திரையில் இல்லை அது தரையில் உணர்வோடு உருவாக வேண்டும். இளைஞர்கள் அந்த உணர்வை திரையில்மட்டும் பார்த்து தெரிந்து கொள்ளக்கூடாது.,,,,
C000389,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Miru eppudu chanipotharu swamy,,,,
C000400,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Ithuvum caste sammantha pattatha..yennaga neengaluma... caste ah olikuren olikurenu sollitu ippdi valathutha viduringa deivame..,,,,
C000409,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"RK eagerly waiting to demoralise Jagan, that is his intention",,,,
C000411,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,vig viju te next flop..... kanditu Bengali anennu thonunnu,,,,
C000412,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,மக்கள் தலைவர் ரஜினிகாந்த் சர்ச்சை காட்சிகள் நீக்கம் கோமாளி படம் குழு விதியோடு கூட விளையாடு தலைவர் யோட விளையாட தலைவர்,,,,
C000413,Wrong,Safe,"mild/neutral comment, no insult",Offensive,vinu nice comedy man.... ನಾನ್ ಕೇಳೋ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರ ಹೇಳೋಕೆ ಆಗ್ದಲೆ ಇರೋ ನನ್ನ ಬಂದು ಏನೋ ಮಾಡ್ತಿಯ ಪಾಪ.. ನಿನ್ ನೋಡಿದ್ರೆ ಅಯ್ಯೋ ಅನ್ಸುತ್ತೆ...,,,,
C000414,Wrong,Safe,"mild/neutral comment, no insult",Offensive,டேய் உதயநிதி ...இப்பதாண்டா உனக்கு ஏத்த title கிடைச்சிருக்கு ......,,,,
C000417,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,mea lanty vaaru state‌ kuu dgp gaa vu0tea state‌ baguntundi saar‌ ayina meeku mimmalni kannatalli tandri gaarikee naa satakoti padabi vandanaalu,,,,
C000419,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"Eanna da Modi padam madri irruku But all the best for Surya,KV Anand&Team",,,,
C000420,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,orey buffoon gaa college fees lu takkuvva chesthe nee mukhaniki adhi chaluu,,,,
C000425,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,வெள்ளாளர்/வேளாளர் முன்னேற்றக்கழகத்தின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்களை தெரிவித்துக்கொள்கிறோம்... குருமா பசங்களின் நாடக காதலை ஒழிக்க எடுத்த படம்.... நெல்லை மாவட்டம் பந்தல்S.ராஜா தம்பிகள்........,,,,
C000429,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Enna thandaa solla vaaringka.. Onnume puriyaale,,,,
C000433,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Full of damal dumil onnum purila.anyway looks good making.,,,,
C000435,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Rosayya garu is a real Good and true politician History lo oka great leader Rosayya garu No words to praise you sir Rip Rosayya garu,,,,
C000438,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,shiva gaari smile kii fidami anchoring super sirnenu maccha cheppe answers kante maeru ichhe smile nae chuustuu undipoyanyuyar voice your style of anchoring avesam,,,,
C000441,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,vachanu anuko gudda paligipodhi,\bgudda\b,,,
C000442,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Yogi babu anna avaru hair style la gethu chaaa Hari cut pannitu nallaaveyla ....,,,,
C000449,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Beethoven ku kan theriyaadhu (Blind) Maybe athunaala copy adichirukkalaam,,,,
C000454,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Oru pakkam bigil. Bigil anil kunjugalin alaparaikal,,,,
C000455,Correct,,vulgar/rude insult present,Offensive,Sulemakale tic tok uninstall madi,\bsulemakale,,,
C000457,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,jaathiya vechu padam edukaravara avanga amma va othathuku samam support pandravara ava thevidiavuku poranthava,,,,
C000466,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Nuvu Chiku raa kcr family dhi,,,,
C000472,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,maa rashtraniki memu adiginappudu meeru wee0tough wee0tunney appulu ivvadam matra0 marachipoka0die,,,,
C000479,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Dei goyyala thalapathi ah patha unakku sirippu varutha...,,,,
C000484,Wrong,Safe,"mild/neutral comment, no insult",Offensive,U1 rock but 1.05 irumbuthirai bgm maathurie iruku,,,,
C000497,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Pongaluku aattamum irukku allaparaium irukku Yar yarku purunchu avunga mattum like pannunga,,,,
C000500,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ee padayatra aipoyina tarvaata aa 80 conternorlu asalu undadaaniki illu laenivaariki ivvandi,,,,
C000502,Correct,,vulgar/rude insult present,Offensive,Guru nin heliddu super nija.adre e Bindu lowda avn ammun tukali sule maklige uriyutte ade indiyadalli gst jasti madidre strick madthare ade tik tok madi chinage amount hodre kushi agthare ivrella bharatiyaralla chinise tunnege uttdoru,\blowda,,,
C000504,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Em kanapadathunnayi bokka,\bbokka\b,,,
C000505,Wrong,Safe,"mild/neutral comment, no insult",Offensive,ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ,,,,
C000506,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Katam hogaya narayana pedda bokada college,,,,
C000510,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,"நான் வன்னியனுமில்லை, தேவருமில்லை,, ஆனால் இந்த நாடகக்காதலுக்கு முழுவதும் முற்றுப்புள்ளி வைக்க விரும்பும் சராசரியானவன்.. திராவிட பாஷையில் சொல்ல வேண்டுமெனில் பாப்பான்... ஆனால் தற்போது உள்ள காலகட்டத்தில் இந்த நாடக காதலுக்காக கொடி பிடிக்கும் அத்தனை நாதேரிங்களுக்கும் இத்திரைப்படம் ஒரு சவுக்கடி மட்டுமல்ல, தரமாண செருப்படி.. இத்திரைப்படத்தை தைரியமாக எடுத்துள்ள இயக்குநருக்கு வாழ்த்துக்கள்",செருப்படி,,,
C000512,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Meeku ichindhi mamulu post kadhu....svbc chairman ante manchi post...meeru daani missuse chesukunnaru...jagan gurinchi pk gari gurinchi kadhu.....meeru avakaasamu miss use chesukunnaru....,,,,
C000527,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,అన్నా నువు ముడ్డి కడుక్కోకు,,,,
C000528,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Dislike adicha maannynmark naduviral namaskaram,,,,
C000530,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Title heavy aah vechikure padam mokkaya thaan erukkum,,,,
C000533,Correct,,vulgar/rude insult present,Offensive,Farmers oda varumaya kaati Ella movie layum kalla kattunga da. Thuu....,\bthu+\b,,,
C000537,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Avalige chapalige odiri,,,,
C000542,Wrong,Safe,"mild/neutral comment, no insult",Offensive,500k target locked make it,,,,
C000544,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,bokkalo maddagudu,,,,
C000548,Wrong,Safe,"mild/neutral comment, no insult",Offensive,ivara pathta death vadi madiri irukku,,,,
C000551,Correct,,vulgar/rude insult present,Offensive,Gommala flopu daa...poi elarum asooth poola oombunga,\boombu,,,
C000555,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,పక్కవాడు గొప్పవాడు ఐతే ఇలాంటి ఎడ్చుకునేవాల్లు ఎల్లప్పుడూ ఎడ్చుకునే వుంటారు.,,,,
C000557,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Nag sir la natural ga evaru matlada lerunag sir super,,,,
C000559,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,నువ్వు మాట్లాడేది తప్పు అన్న గురించి ఎంతైనా చెప్పుకో వచ్చు కానీ మోహన్ బాబు గారిని తమ్ముడు అని మాట్లాడడం ఏమాత్రం కరెక్ట్ కాదు వాళ్ళ కొడుకులు కూడా సీరియస్ అయితే ఎంత పరిస్తితి ఏంటీ,,,,
C000560,Wrong,Safe,"mild/neutral comment, no insult",Offensive,pakka prufff kodi,,,,
C000561,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Trailer semma...mokka...ithellen oru padam....comedy ya iruku....,,,,
C000562,Wrong,Safe,"mild/neutral comment, no insult",Offensive,sila peru avanga polappukaga thalathalapathy fandom vachi drama pandranga...,,,,
C000565,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,4K DISLIKES I KNOW YOU ARE OTHER ACTORS FAN WHO ARE UNABLE TO MAKE THIS KIND OF MOVIES AND GETTING JEALOUS,,,,
C000568,Wrong,Offensive,vulgar insult but no group/gender hate target,Hate Speech,Enna look da ithu ADI kevalama iruku,\bkevalama,,,
C000592,Wrong,Safe,"mild/neutral comment, no insult",Offensive,ellam avan seyal movie mariye iruku,,,,
C000595,Wrong,Safe,"mild/neutral comment, no insult",Offensive,sivakumar ah villana potruklam just miss,,,,
C000596,Wrong,Safe,"mild/neutral comment, no insult",Offensive,Bigil a vida kaithi semaya irukku endravainga like ..,,,,
C000599,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,media mundu enduku pettatleduasalu nijamgaane arrest chesara,,,,
C000600,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Ha bokkaley ...... Chivaridaka vuntey appudu cheppu,,,,
C000614,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,"இந்த படம் வந்த பிறகு கருப்பு சட்டை காரனும், நீல சட்டை காரனும் முகத்தை எங்க வைப்பாங்கன்னு தெரியல ..! அதுக்கப்புறம் மக்கள் முன்னாடி மேடைல எப்படி பேசுவங்கன்னு தெரியல ...!! உப்பு தின்னவன் தண்ணீர் குடிச்சு தான் ஆகனும்..!!!",,,,
C000616,Wrong,Safe,"mild/neutral comment, no insult",Offensive,ஜெயலலிதா வை இப்படி எல்லாம் அவமான படுத்தி இருக்க வேண்டாம்..,,,,
C000617,Wrong,Safe,"mild/neutral comment, no insult",Offensive,மொதலாம் ரஜினி ரெப்பரன்ஸ் மாஸ்க்கு வெப்பாங்க இப்பலாம் காமடிக்கு வெக்கிறாங்க..,,,,
C000623,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,ఈ వీడియో చూసి మనిషివా మోహన్ బాబు వా?,,,,
C000625,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Yeediki prathi kshnam third degree pettali yee sollu poyenthavaraku,,,,
C000635,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,Same to same డిస్కో శాంతిలెక్కున్నావ్keep it up,,,,
C000643,Wrong,Safe,"movie/actor/political comment, no hate content",Hate Speech,aatla vastaayi anna niku enni televi thetalu oka cinema thee anna,,,,
