C000790 | Tanglish | [Offensive] Ena da idhu #Dunkirk bgm'a copy adicha mari iruku.. #hansZimmer paavam summa vidadu da...
C000849 | Tanglish | [Hate Speech] Padicha pasanga illa Velai vanguna pasangannu sollunga padicha pasanga ethanai perukku velai irukku saarey...pavam namma pasanga degree mudichittu swiggy zomato uber eats la velai paakuranga athuku Peru velai illai...saabam intha naattoda saabam...ayokiyanunga nu therinchim thirumbath thirumba avanungalaye aala vachi ellarum sernthu thappu pannittu padicha pasanga nu one side ah thakurathu thappu...mudhalla veetu thalai ezhutha mathanum apuram thaan naadu...70% velai vaaipu kurainthu poyirukka kalakattathula intha dialogue thappu (vettiyanuku theriyuma sudukattula azhuravan kashtam)
C000850 | Roman Telugu | [Hate Speech] samudramlo alalunte andam maa gundello harsha saayi anna unte aanandam
C000851 | Tanglish | [Hate Speech] Ninga ellam padichi erukingala illaya da sadhi Veri pudicha naingala
C000858 | Tanglish | [Offensive] dei vennaigala comedian irunthutu herovaka aasapadakudathu da
C000863 | Tanglish | [Hate Speech] Hit like if you are waiting to dislike mersal teaser... Thala ivlo hard work paniyum 59K dislikes
C000868 | Tanglish | [Offensive] Etcha thirumavalavan. pa ranjith pondravargaluku..serupu adi dialogues..
C000869 | Tamil | [Hate Speech] இந்த படம் பள்ளர்களுக்கு சரியான சாட்டை அடி...
C000872 | Tanglish | [Offensive] 02:02 antha rajinikanth speech 31/12/2017 aana jeyam ravi 2016 la irukaaru athu eppadi 🤔🤔
C000874 | Telugu | [Hate Speech] అందరికీ అర్థమయ్యే భాషలో చాలా బాగా మాట్లాడారు సర్
C000875 | Roman Telugu | [Hate Speech] mea iddari commension super anna
C000880 | Roman Telugu | [Hate Speech] Pitchi pk neeku neemeede nammakam ledhu you only belive NCB
C000887 | Tanglish | [Offensive] Used titan music for entire trailer...ilayaraja music podaliya?
C000889 | Roman Telugu | [Hate Speech] suma gurinchi evvaru cheppanakkarledu tanante maaku chaalaa ishtam
C000890 | Tamil | [Offensive] இனத்துரோகி கருணாநிதி செத்த நாள் தான்டா தமிழ்இனத்திற்கு தீப ஒளி
C000895 | Tanglish | [Hate Speech] Wtf did I just watch..Gajendra/virudhagiri part II.
C000911 | Tanglish | [Offensive] Vagina fanskala savunkada... Thalaivar Kodi parakura edathula Vera Evan kodida parakum
C000912 | Roman Telugu | [Hate Speech] Marri nevvu am I pekavu
C000914 | Tamil | [Offensive] மணிநீ எந்த படமும் இனி ஓட்ட முடியாது(உனக்கு சங்கு ஊதி பல வருடங்கள் ஆகிவிட்டது ) நீயும் உன் குடும்பமும் வீட்டில் உட்கார்ந்து பார்கவேண்டியதுதான்???????
C000918 | Roman Telugu | [Hate Speech] orey puk puri mari anta moddalo cinimea endhuku tesavavu cheppu oksari?
C000922 | Roman Telugu | [Hate Speech] dance loo aayanni minchalante marrow chiranjeevi ravalsinde
C000924 | Tanglish | [Offensive] Aanmai illathavargal.. Isai devan engayo sonnathu... You are a living legend Sir amaithiyai irupathu unga sirapukku sirappu.
C000926 | Tanglish | [Offensive] Paravala na joker avea irunthutuu poren
C000928 | Tanglish | [Offensive] 24k Potta pasanga vandhu paathutu poirkaanga
C000938 | Kannada | [Offensive] Shetty ಓಹ್ ನೀನ್ ಗಂಡು ಡಗಾರ್ ಕೆಲಸ ಮಾಡೋದಾ? ಅದಕ್ಕೆ ಅಷ್ಟೊಂದು ಖರ್ಚು ಮಾಡೋಕೆ ದುಡ್ಡು ಸಿಗೋದು.... ಅದ್ರ ಬದಲು ಕೂಲಿ ಮಾಡಿ ತಿನ್ನೋ
C000941 | Tanglish | [Offensive] Thala koda compare panna yarukum thakuthi kidaiyathu mind it
C000944 | Tanglish | [Hate Speech] Yaaru da Avan idhuku Kuda dislike panrava ??? Hope simbu annana pudikaadhavanga thaan irukum
C000947 | Kannada | [Offensive] vinu ಅಶ್ವತ್ಥಾಮ ಹೇಗೆ ಚಿರಂಜೀವಿಯೋ ಹಾಗೆಯೇ ಭಗವಾನ್ ಪರಶುರಾಮರು ಚಿರಂಜೀವಿನೆ ಅಲ್ವಾ... ಹೇಗಾದ್ರು ಮಾಡಿ ಅವರ ಹತ್ರ ಇರೋ ಅಸ್ತ್ರಗಳನ್ನು ಪ್ರಯೋಗಿಸಿ ಪಾಕಿಸ್ತಾನದ ಉಗ್ರಗಾಮಿಗಳನ್ನ ನಾಶ ಮಾಡೋಕ್ಕಾಗಲ್ವ...
C000948 | Tanglish | [Hate Speech] Mokka make up 🤐 Waste CG
C000950 | Telugu | [Hate Speech] పాల మల్లిగా బిడ్డ పెళ్లి ని పైసలతో చెసినోడు పిసిసి అధ్యక్ష పదవి కోనె పైసలు ఎక్కడవి రా
C000956 | Tanglish | [Offensive] Last vara dialog thavaravera onnum edupadala. Movie ya paathutu comment pandren
C000958 | Tanglish | [Hate Speech] Ippadi padam mattum thaan edukka mudiyum vera onnum pudunga mudiyathu
C000960 | Tanglish | [Offensive] Semme mokka doi. ha ha ha kubeer nu sirichavan ellam kai thooku
C000962 | Roman Telugu | [Hate Speech] om namo namah shree venkateswara swami yoo kaliyuga pratyaksha daivam shree tirumala srivari paadaala kuu namaskaramshree vishnu roopaaya namah sheevaya
C000963 | Roman Telugu | [Hate Speech] super star krishnagaari movie undigaa ee name tho movie
C000970 | Tanglish | [Offensive] Machine gun climax la ennaku pubg veri vandhuduchu
C000971 | Telugu | [Hate Speech] రేయ్ నీకు నేర్పించి వాన్ని దెంగల ఫస్ట్ గుద్దా మూసుకొని స్కూల్ వెళ్ళి చదువుకో ఎర్రి పుష్పం గానీ పనులు చేయద్దు
C000972 | Roman Telugu | [Hate Speech] flop ante ente bayyaneku tilusanuvvu tisava movienuvvu produce chesavanuvvu chusavane abbanuvvu chudara movie first
C000974 | Kanglish | [Offensive] After 25 flops .. gentle man block buster
C000975 | Tanglish | [Offensive] Beethoven music use pannum Ilayaraja aanmaiyattra seyal
C000976 | Tanglish | [Offensive] Mavane kollama vita maden Sweet saptu varen Epdi semma
C000980 | Kannada | [Offensive] ಪ್ರೀತಿಗೋಸ್ಕರ ಪ್ರಾಣನೆ ಬಿಡ್ತಾರೆ
C000986 | Kanglish | [Hate Speech] Tik Tok tune hunkondh hoeyhu Tik Tok madhuru china avaradhu tune unri🤣🤣🤣🤣🤣
C000987 | Roman Telugu | [Hate Speech] nuvvu evadi umpudugattevo andarikee telisinde
C000990 | Kanglish | [Offensive] Enadru public help ago Vishayada bagge Mathadi ivaga jana thumba buddivantharagidare
C000991 | Tanglish | [Offensive] Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....
C000992 | Kanglish | [Offensive] Gentleman nodi bro
C000993 | Kanglish | [Hate Speech] Rashmika haters like madi
C000999 | Roman Telugu | [Hate Speech] Yendhuku navuthunav ra yadhava sachinoda
C001002 | Tamil | [Offensive] குஞ்சித், குருமா அவர்களின் ஜாதி வெறி, நாடக காதலை தோலுரித்துக் காட்டியது.... அருமை
