comment_id,language,category,comment,english_translation,rule_verdict
C016449,Kannada,Hate Speech,nayak ಚಪ್ಪರ್ ಬೋಳಿಮಕ್ಳ.. ಲುಚ್ಛನ್ ಫ್ಯಾನ್ಸ್ ಬುದ್ದಿ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತೆ ಎಲ್ಲಿ ಹೋದ್ರು ಬರಿ ಉರ್ಕೋಳ್ಳೋದೇ ಆಯ್ತು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.. ನಿಮ್ಮ ಲುಚನ್ಗೆ ಹೇಳ್ದ್ರೋ ಒಂದಾದ್ರು ಹಿಟ್ ಸೀರಿಯಲ್ ಕೊಡು ಅಂತಾ ಪೈಲ್ವಾನ್ ಸೀರಿಯಲ್ ಆಲ್ಸೋ ಫ್ಲಾಪ್,,Offensive
C016453,Tanglish,Hate Speech,Padam Peru 6 mudal 60 varai nu vechurukalaam !,,Safe
C016456,Tanglish,Hate Speech,Satyama sollren da...enala thanga mudila da...inimey ipdila biopic la evanum edukathinga,,Safe
C016460,Tanglish,Offensive,Kola kaandula iruken mavane kollama vidamaten sema dialogue,,Safe
C016468,Kannada,Offensive,ಸತ್ಯವಾಗಲು ಸರ್ ನನಗೂ ಕೂಡ ಹಾಗೆ ಅನಿಸುತ್ತಿದೆ ಕಂಡಿತ ನಾವು ಈ ಸಿನಿಮಾ ಥಿಯೇಟರ್ ನಲ್ಲಿ ನೋಡಲಿಲ್ಲ ಅನ್ನೋ ಬೇಜಾರು ತುಂಬಾ ಆಗಿದೆ .,,Safe
C016470,Roman Telugu,Hate Speech,yogi cinemaa muhurtham pettaduu ...adi flop avuddani teliyadu raa maidapindii,,Safe
C016479,Roman Telugu,Hate Speech,Dengav ga video,,Offensive
C016482,Kannada,Hate Speech,ಜನರನ್ನು ಮೂರ್ಖರನಗಿಸೋ ವಿಡಿಯೋ ಇದು ಯಾರೂ ಕೂಡ ನಂಬಬೇಡಿ ಒಬ್ಬ ವ್ಯಕ್ತಿ 5000 ವರ್ಷ ಬದುಕುವುದು ಸಾಧ್ಯವಾ ನಿಮ್ಮಗೆ ನೀವೇ ಪ್ರಶ್ನೆ ಮಾಡಿಕೊಳ್ಳಿ.,,Safe
C016484,Tanglish,Offensive,Too violent..gonna skip..Suri cannot replace vivek/Santanam,,Safe
C016487,Tamil,Hate Speech,பிறவியில் இருந்தே பெண் பிள்ளையிடம் ஒரு வித வீரம் உள்ளது ஆனால் அந்த வீரத்தை மங்க செய்து தன் அப்பாவையே அவளுக்கு எதிரியாக சித்தரிக்த்து (சாதி வெறியன்) என்ற பட்டம் குடுத்து அவளை ஆசை வலை காட்டி ஏமாற்றும் அனைத்து பொட்ட நாய்களுக்கு இப்படம் தவறாகத்தான் தெரியும்... பெண்களே இதுபோன்ற நாய்கள் சமூகத்தில் வலம் வருகிறார்கள் அவன் நல்லவன் போலவும் உன் அப்பன் (சாதி வெறியன்) போன்றும் சித்தரிக்த்து ஏமாற்றி வருகின்றனர் தயவு செய்து ஏமாறாமல் இருங்கள்.... இப்படிக்கு உங்களின் சகோதரன் ..,,Hate Speech
C016489,Roman Telugu,Hate Speech,kashta padi kinda nunchi vacchina vaaru chiranjeevi ayana prati okkariki respect istaaru,,Safe
C016493,Roman Telugu,Hate Speech,Peetha … idokA Lavada lo buildup,,Safe
C016498,Roman Telugu,Hate Speech,Waste gadu Natraj is very bad behaviour,,Offensive
C016508,Kanglish,Offensive,Evnoba sade banda illi...,,Safe
C016517,Kanglish,Hate Speech,Edu public mistake alla bidi evara mistake edu.one week ga 11 films release adre jana yavdanta nododu.Its totally mistake of film makers planning,,Safe
C016533,Tanglish,Offensive,Petta trailer therikkithu SIVA engada irukka Thalaya eppada katta pora.,,Safe
C016538,Tanglish,Offensive,Enna elavu da idhu .... indha karumathuka 500 kodi,,Safe
C016540,Kanglish,Offensive,shivu Mathe Yavaglu Telugu Ge yake saitare alllli erorela?,,Safe
C016546,Roman Telugu,Hate Speech,rey delete cheyi lawde,,Offensive
C016554,Tamil,Hate Speech,அப்படி ஒரு ரகசிய அடி குடுக்கணும்,,Safe
C016557,Tanglish,Hate Speech,Grrrr tuuuu kevalama irukidu inda dopu,,Offensive
C016559,Tanglish,Hate Speech,Movie release aagathu... Kastah Kalam producerku..,,Safe
C016571,Kanglish,Offensive,Nin tula malanaleya asvat nama avru yar kanigu kanskalake esta padala akaamat kandru noddavru ale satogtare antadrali avne band docter baklu badudnante nin avunmakanleua hogi nin anta gandu galge hog helu kate na,,Offensive
C016573,Roman Telugu,Hate Speech,Amma anaadhi.. inkokadu vastunaadu antaadhi.. nee bongulo comedy nuvu,,Safe
C016575,Tanglish,Offensive,Enna da innum trending aagala thuuu,,Safe
C016578,Tanglish,Hate Speech,End dialogue eda kuda ma erukae..,,Safe
C016583,Tanglish,Hate Speech,BTW... No. of Views Load aaga late aagudhu.... Mudi Kottunavan Fans ellam Moola kaarangannu niruvichitanga... ponnungala thadavara Vijay Fan ah irukkaradha vida... Ajith fan ah ve irundhuttu poidalam pola.... Remember... Vijay sir ah troll pannadhukku 90% reason Vijay FANS dhaan karanam....,,Offensive
C016585,Roman Telugu,Hate Speech,intha china vayasulo mimmalni kolpovadam chaalaa saad anna,,Safe
C016589,Tanglish,Hate Speech,Sema bangam trailer Mersal movie viswasam movie total damage so sad me thala fan,,Safe
C016592,Tamil,Offensive,என்ன ஒரு பையன் வாய திறக்கல டேய் பொள்ளாச்சில பொண்ண ஏமாத்தி நாடக காதல் பண்ணான் அவன் எந்த சாதி காரன்......சும்மா முட்டா புண்...... மாதிரி படம் எடுக்க வந்துட்டானுங்க......,,Safe
C016598,Tanglish,Offensive,Inga vijay fans than neraiya support pandrom nu haters ku like buttun adichi kaatunga pullaingalaaa ...,,Safe
C016606,Tanglish,Offensive,enna kanravi da ithu poor cg work and vfx..thuppaki ah suttu padam eduthurukaanunga daa,,Safe
C016608,Roman Telugu,Hate Speech,raastaam bagundali ante pavankalyan cm khawali raastaam baagupadutundi,,Safe
C016612,Tanglish,Offensive,Not matching jayalalitha amma,,Safe
C016619,Kannada,Hate Speech,ಅಣ್ಣ ನಮ್ಮನ್ನು ಅಲ್ಲ ಅವರ ಗೋಳು ಅಂತ ಹೇಳಿ,,Safe
C016620,Roman Telugu,Hate Speech,Pora pilla puka,,Offensive
C016629,Tamil,Hate Speech,இன்னும் அந்த சில கருப்பு சட்டை குரூப் ட்ரோல் பண்ணி மத்தவங்கள வெறி ஏத்தினு இருக்காங்க...,,Safe
C016634,Tanglish,Offensive,Beethkvan music.....vera oru aal music ah edukurathu aanmai illatha thanam.sonnavar illaiyaroja🤪,,Safe
C016637,Tanglish,Offensive,Pakurathuku munaadiye dislike poduraanuga thalaivan U1 kaga,,Safe
C016642,Roman Telugu,Hate Speech,Erripukulu,,Offensive
C016646,Kannada,Offensive,ಕೇಳಿ ಕರುನಾಡ ಬಾಂಧವರೆ,,Safe
C016651,Kanglish,Offensive,Tamil nadavrige gottu Sudeep bagge neen Yav thukali anta nin mat keltare.,,Offensive
C016655,Tanglish,Hate Speech,Innum ethana kalam thn idhu mariye padam edhuthu savadipinga different ah try pannunga pa,,Safe
C016658,Tamil,Hate Speech,அடங்க மறு.அத்து மீறு..திமிறி எழு.. திரும்பவும் அடி வாங்கி சாவு..,,Safe
C016662,Tanglish,Hate Speech,Ethana timeda indha madhri padam eduthu moka poduvinga.. avavan psycho superdeluxenu world classla padam edukran.,,Safe
C016668,Tamil,Hate Speech,"1996 ,ல் எம் ஜி ஆர் இந்திய பிரதமராக பதவியேற்றார் . 1996, ல் கருணாநிதி பிறந்தார் . 1996, ல் ரஜினிகாந்த் 2.o என்ற படத்தில் நடித்தார் , அதுவே தன் கடைசி படம் என்றும் அறிவித்தார் . மேலும் உண்மைத் தகவல்களுக்கு அனுகவும் , கோமாளி ( பயல்கள் ) டீம் .",,Safe
C016670,Roman Telugu,Hate Speech,avineeti rahita paripaalana ganaka isthe tappakunda rashtram abhivruddhi chendutundi,,Safe
C016672,Roman Telugu,Hate Speech,eepaata entha bagundotrine seenlo climax loo dheeni bgm inca baagundi prabhakaran garu taman garu,,Safe
C016674,Roman Telugu,Hate Speech,Virat Kohli thopu dammunte Appu king always kingeeeee,,Safe
C016687,Tamil,Hate Speech,தளபதி பற்றி தவறாக பேசிய இந்த மொட்டை youtube channel லா block பண்ணுங்க Bro.... link:,,Safe
C016696,Tanglish,Offensive,Kangana looks like jaylalita's wax figure,,Safe
C016699,Tanglish,Hate Speech,Valthukkal bro ...seruppadi for jaathiyans and jaathi ya vachu arasiyal pandra naaikalukum,,Offensive
C016700,Tamil,Hate Speech,குருமா கும்பல் நாடக காதல் தேவிடியாபசங்களுக்கு செருப்படி வாழ்த்துக்கள்,,Offensive
C016702,Tanglish,Offensive,Ivanuku kannu open la irundhale Acting🤔🤔 varradhu idhula kanna mudittu enna panna porrano 🤫🤫🤪,,Safe
C016706,Tanglish,Offensive,10 k dislike puran vavuthu Ericha,,Safe
C016713,Kanglish,Offensive,Lucchan Tara para basheyavra thika nekkbardu ashte Alva guru,,Offensive
C016716,Tanglish,Offensive,neee thepavaliki thalapathy kuda vara namakida un mass edipadathu mapulla,,Safe
C016718,Tanglish,Offensive,Ennangada Vjs eh pathi onnumey kaamikala.. Movie la yavathu konjam getha kaaminga da..,,Safe
C016719,Tanglish,Hate Speech,Eppadiyum Pondadiya thaan neasikkanumnu climax irukkum illaadi director muvane nee seththa,,Safe
C016721,Telugu,Hate Speech,అన్నా నెక్స్ట్ మూవీ ఇంకా గట్టిగా కొట్టాలి ఆల్ ది బెస్ట్,,Safe
C016723,Tanglish,Hate Speech,Ippadhan 337k likes vandhuchu thirumbavum 331k likes aagiduchu enna aachunu therlaye,,Safe
C016728,Roman Telugu,Hate Speech,Elanti valanu encourage cheyadam media valu tappu Veeri mida government charyali tisukovali Naku telisi jatakalu emi vundaavu ani medhavlu chala mandi chepparu Public nu cheating chestunnaru,,Safe
C016729,Tanglish,Offensive,Engala patha unnaku eppadi theridhu Rip. ... Psycho,,Safe
C016734,Tanglish,Hate Speech,Thanjavur Thallaiyaatti Bommai pola iruku final ah,,Safe
C016739,Tamil,Offensive,சிங்கம் தமிழ்நாடு அளவு சிங்கம்2 இந்திய அளவு சிங்கம்3 உலக அளவு சிங்கம்4 செவ்வாய் கிரகம் தான் #S3TeaserCelebration,,Safe
C016747,Tanglish,Offensive,Kanapundai i will kill you thAyoli,,Threat
C016756,Kannada,Hate Speech,ಯಾರೋ ಚೀನಾ ತು×× ಹುಟ್ಟಿರೋ ಮಕ್ಳು ೬ ದೀಸ್ ಲೈಕ್ ಮಾಡಿದಾರೆ,,Safe
C016757,Roman Telugu,Hate Speech,nijamgaa super punhyaatmudu ilanti chaavu ravalani ante entho punyam adrushtam undaali ani naa bhavana,,Safe
C016770,Tamil,Offensive,குள்ளன் பான்ஸ் பெரிய இது மாதிரி சர்க்கார் படம் மாதிரி பண்ணலாம் பாக்குறியா குள்ள கூதிக்கு dislike போடுங்க,,Safe
C016772,Tamil,Hate Speech,புளு சட்டை இந்தப் படத்த கிழிச்சு தொங்க விடப் போறேன்,,Safe
C016775,Roman Telugu,Hate Speech,langota gadu vadu valle desham anta covid vachindhi,,Safe
C016780,Roman Telugu,Hate Speech,nirmala sitaraman gaarini alaa anadam tappa,,Safe
C016781,Tanglish,Offensive,Dai ranjit nee idha parthu film eduka kathuko,,Safe
C016782,Tanglish,Offensive,"mask podathala kandu pidika mudiyala,.",,Safe
C016783,Tanglish,Hate Speech,Bro uonmathan nama v2 ponu love. Pana thaputhan para payana love Pana thaputhan but an panna kudathu aothan kalvii nee pariya pudiku Mari youtupe la comments poda Enna pullinggo paya paduvanglo otha potta p.... Konjam selvaku vasukidu scean pu...da podatinga,,Safe
C016787,Telugu,Hate Speech,అమ్మ ఒక రాక్షసుడుని కని మా మీద వదిలేసావు తల్లీ నీకు,,Safe
C016790,Tamil,Hate Speech,லைக் போட்டவன். எல்லாம் வேசி மகனாக இருப்பானுக போல,,Safe
C016793,Tanglish,Offensive,Adai ranjith pathutu sethutia ella uiroda erukia sollitu poda adaii,,Safe
C016797,Tanglish,Hate Speech,40s 50s 60s 70s 80s 90s 00s 10s Police in films: namba department .ku asigam... Public: dei police real life la kevalam dhaan irukeenga,,Offensive
C016798,Roman Telugu,Hate Speech,Adi gadu bathroom velli vachi kadukkuntunadu,,Safe
C016800,Roman Telugu,Hate Speech,megastar antey adhi em expression raa babucamedactionsians aitey ika cheppoddu,,Safe
C016808,Tamil,Offensive,JJ va Against Ethirthuu ninnu ...ரஜினிகாந்த் ஆதரவு பெற்ற வேட்பாளர் கலைஞர்னு தம்பட்டம் அடிச்சு vote vangaralvuku தமாக திமுக கூட்டணி ஆதரவு கொடுத்தார். ஒருநாளும் அரசியல் வருவன் கூறியதில்லை...வரலாறு தெரிஞ்சிட்டு படம் எடுங்கடா முட்டாள்களா...பப்ளிசிட்டிகாக பொய் அளந்து விடறது,,Safe
C016810,Tanglish,Offensive,Dai vaanga daw zero trailer paathingala,,Safe
C016811,Tanglish,Offensive,dislike pannavanlam rethom katki savan. ...,,Safe
C016817,Tanglish,Offensive,Kiruku thanamana oru trailer...idhunala yaruku enna use,,Safe
C016820,Kannada,Hate Speech,of India ನಾವೂ ಬ್ರಹ್ಮಣರು ಆಗುವುದಿಲ್ಲ ಏಕೆಂದ್ರೆ ಅವರು ಅಂಧಕಾರಲಿ ಬದುಕುತಾರೆ ನಾವು ಗಳೂ ಹಿಂದೂಗಳೇ ಆದ್ರೆ ಹಿಂದೂಗಳೂ ಹಿಂದೂಗಾಳ ಮೇಲೆನೆ ಅನ್ಯಾಯ ಮಾಡ್ತಾರೆ ಅಧೋಸ್ಕರ ನಾವು ಹಿಂದೂ ಧರ್ಮ ಬಿಟ್ಟು ಪವಿತ್ರಾ ಬೋವ್ದ ಧರ್ಮಕೆ ಬುಧನ ದಾರಿಯಲಿ ನಡೆಯುತ್ತೇವೆ ನಾವು ನಡೆದೇ ನಡೆಯಿತೇವೆ ಭಾರತ ಬುದ್ಧ ರಾಗುತ್ತೆವೆ,,Safe
C016821,Roman Telugu,Hate Speech,nijamgaa ee love story endhi bhai sheenanna ediche seen super,,Safe
C016822,Tanglish,Offensive,Enna da Onnume puriyala enna da nadakkuthu,,Safe
C016832,Roman Telugu,Hate Speech,appatlo dirkters kii content raitars kii unna humour sains ippudu evarikee ledhu,,Safe
C016834,Kannada,Offensive,ನೀ ತುಲ್ಯ,,Safe
C016835,Roman Telugu,Hate Speech,anna nuvvu peddagaa mea taatalaa edagaali ante nuvvu pakka genasenalo cheru avvu anna please naaku telisi nuvvu rayalaseema nundi pedda nayakudu avtav conny jagan ninnu oka chadarangam loo sipai lae,,Safe
C016843,Telugu,Hate Speech,బ్రేక్ అంటే.... Fucking కే కాదా ఎంజాయ్,,Safe
C016844,Tanglish,Hate Speech,Mass kalaai for Rajini the comali...,,Safe
C016845,Telugu,Hate Speech,కెజియఫ్ మనిషి ఒంటరివాడైనా ధైర్యంగా పరిస్థితులతో పోరాడి బతకగలిగేంత ధైర్యం ఇచ్చే సినిమాకాంతారా మనిషి ధైర్యవంతుడు అందరూ ఉన్నవాడైనా మూఢనమ్మకాల పేరుతో మనిషిలో ఉన్న ధైర్యాన్ని నాశనం చేసే సినిమా,,Safe
C016847,Roman Telugu,Hate Speech,​bandi reddy ane porambol edava ga undu modi cheppulu moyadaniki,,Offensive
C016853,Tanglish,Offensive,Otatha movie ku ethuku trailer,,Safe
C016864,Kanglish,Offensive,Le hudugira tik tok bidi banni lagori aduma horagde social distance nalli lagori ata tik tok ge tata only for tik tok girls ________,,Safe
C016868,Tanglish,Offensive,Andha loose Abhirami irruka paaka vandhavanga Like podunga..,,Offensive
C016870,Roman Telugu,Hate Speech,okasari chuttoo unna vaalla kallallo aanandaanni gamaninchandi,,Safe
C016874,Kannada,Offensive,Ganesh Bhat -ನಿನು ಒ೦ದು ಬ್ರಾಹ್ಮಣ ಸರಿಯಾಗಿ ಜಾತಿ ಮಯಾ೯ದೆ ಇಟ್ಟು ಮಾತಾಡುವದನ್ನು ಕಲಿ,,Hate Speech
C016875,Tanglish,Offensive,THE best movie ever bigil is usless,,Safe
C016881,Tanglish,Hate Speech,Jaadhi veri pidicha thayoli ellam inga thaan irukanga pola🤣,,Hate Speech
C016898,Kannada,Offensive,nayak ನಿನ್ ತುಲ್ಲು ವಾಸ್ನಿ,,Offensive
C016904,Tanglish,Offensive,Kadaisila rajini ah kalachiteangalea da ...,,Safe
C016906,Tanglish,Offensive,Laugh riot from 0.24 Dai kelava,,Safe
C016908,Tanglish,Hate Speech,Thalaveriyan solren... Semma mass.. Viswasam elithi vachukonga viswasam trailor ithoda mass ah irukum,,Safe
C016909,Kanglish,Offensive,Parthasarathi gaandu Sule magne hogi bucket du gaygf nodu adu bittu illi dboss annnabeda cheeti kalla fan,,Offensive
C016910,Tamil,Hate Speech,HEY ...இது 96 யாரை ஏமாத்த பாக்குறீங்க ....வச்சான் பாரு ட்ரைலர் ல CLIMAX AH.....வேற லெவல்...,,Safe
C016912,Tanglish,Offensive,ajith oditara bayathula ........ bairava da pangu,,Safe
C016914,Tanglish,Offensive,Udhayanidhi #Manithan Padatha Beat pannu ma ithu #Nkp,,Safe
C016921,Telugu,Hate Speech,మంగ్లీ మేడం గొంతులో ఏ పాటైనా అత్యంత మధురం ఎంత ఎంజాయ్ చేస్తూ పాడుతుందో,,Safe
C016924,Roman Telugu,Hate Speech,asalaina jaatiratnam mana director garu anna vaallu oka like kottandi,,Safe
C016925,Roman Telugu,Hate Speech,Jagartha antunadu andham antunadu akka antunnadu ento veedu em ardham kavadam ledhu em antunado ardham kavadam ledhu antha confusing ga vundhi,,Safe
C016927,Roman Telugu,Hate Speech,"Assaminchani suryudu ma paritala ravanna, champi chindhi nuvu nikodukey, andukey ni maranam uhathitham.",,Safe
C016930,Kanglish,Hate Speech,Parvagilla bidi bejar ilanNam Sandalwood navara manassu nim samudrakkinta vishalavagidenAdakke we welcome you n like younWe like all culture,,Safe
C016934,Tamil,Hate Speech,போதும்டா யப்பா எங்களுக்கு ஏற்கனவே 2.5 மில்லியன் வியூஸ் வந்துடுச்சு.. இதுல இந்த ஓசி சோறு குரூப் வேர புகார் குடுக்குறன்னு விளம்பரம் பண்ணி விடுறானுங்க...,,Safe
C016935,Tanglish,Offensive,Dislike potha naye lam simon tumbinga.. nalla kathurunga da,,Safe
C016944,Tanglish,Offensive,Man Of Steel Bgm Oda influence irukura madiri iruku🤔,,Safe
C016945,Kanglish,Hate Speech,Movie nija chanagila guru,,Safe
C016949,Tanglish,Offensive,"Kevala mana padam pengalai ilivu paduthum padam totally Tamil culture ku oppadha padam ,,,,",,Offensive
C016954,Tanglish,Offensive,I like petta thalaivar pakka thana poringa intha petta oda aattatha all,,Safe
C016955,Roman Telugu,Hate Speech,mana telamgaanaloo raajakeeya nayakula jeevitaalu tappa evari jeevitaalu bagupadale,,Safe
C016956,Tanglish,Offensive,1.18 la title than iruku..sela payaluga summa suthuranunga.. trailer,,Safe
C016957,Tanglish,Offensive,Oruthar mela neenga viswasam kaatradhu kaaga innoruthara yen asinga paduthirunga,,Safe
C016963,Roman Telugu,Hate Speech,Kutha chimpi. Pardengutha ninnu varshini,,Offensive
C016966,Tamil,Hate Speech,நம்மவர் அவர்கள் இன்று காலை கோமாளி ட்ரைலர் பார்த்தார் அதில் ரஜினி அவர்கள் அரசியலுக்கு வருவதை பற்றிய விமர்சனத்தை பார்த்தவர் உடனே தயாரிப்பாளருக்கு போன் செய்து இதை என்னால் நகைச்சுவையாக பார்க்க முடியவில்லை என்று கூறி வருத்தப்பட்டார் நட்பின் வெளிப்பாடா நியாயத்தின் குரலா,,Safe
C016968,Tamil,Hate Speech,நாடோடிகள் 1க்கு பாதி கூட வராது நாடோடிகள் 2..,,Safe
C016974,Tanglish,Offensive,Ean ya unaku intha vendatha velai,,Safe
C016976,Roman Telugu,Hate Speech,merry envy appa tisco central government nunchi inca cooperation loan teesukoni 5lucks crores aapu loo undhi telamgaana state please stop free free schemes,,Safe
C016980,Tanglish,Offensive,Thaliva..nee thokka matta thalaiva thairiyama sanda podu,,Safe
C016982,Kanglish,Offensive,Thu sooolemagane Bari star madya tandido kelsa madtiralo ibru kuda nam Kannada actors ibrigu nam support yavaglu irutte nimmanta soolemaklu ibru madyaadali tandidtira,,Offensive
C016983,Tanglish,Hate Speech,Note this point mr.Rajni kanth .... Poraduvathey thappu na poradura soozhnilaiya uruvakkunathum thappu thaan ....,,Safe
C016985,Roman Telugu,Hate Speech,Sulli ra,,Safe
C016986,Tamil,Offensive,கருணாஸ் ப்ரோ. நீ தயவுசெய்து பேசாத படத்தை கெடுக்காத,,Safe
C016992,Tanglish,Offensive,Kudumpathoda nu Feel PANNI Dialouge Pesura Ponnu First Rendu Line News Vasikura Mathiriye Oru Feel,,Safe
C016993,Tanglish,Offensive,Ithuku mela Rajini body thangathu da. pothum,,Safe
C017001,Tanglish,Offensive,Thambi naanga 19 hourslaya 11M neenga yaaru da komali,,Offensive
C017003,Tanglish,Hate Speech,Ranjith thevdiya payale neyellam ennada padam edutha...,,Offensive
C017005,Roman Telugu,Hate Speech,Meeru cheppindi nijam chesaru hanu garuaa nijaanni nen e roju theatre lo chusanu no mobile light was on during the movie timekudos to u,,Safe
C017006,Roman Telugu,Hate Speech,mega family ante naaku chaalaa ishtam andulo maa bass chiranjeevi garu,,Safe
C017013,Roman Telugu,Hate Speech,baagaa chepparandi ilanti vaallani malli gelipinchukunte inca boothulaku haddu poddu undadu ematram samskaaram unnollu alanti vaariki otlu veyaru,,Offensive
C017017,Tanglish,Offensive,Dei dislikers vayiru erinji saavunga da,,Safe
C017019,Roman Telugu,Hate Speech,mody gaari binami ayina adani asthi entha undo adhi cheppu mundu,,Safe
C017021,Tanglish,Hate Speech,Thayavusenchi movie ya release pannathinga da...look kevalama irukku,,Offensive
C017026,Tanglish,Hate Speech,Ivlo naal sc mattum nallavanga pola kaati sc s echai nga movie eduthanga. Ippo ipdi yethir paakala la,,Hate Speech
C017028,Tanglish,Offensive,Namaku thevaiyanatha namma than adichu vanganum(asuran)........ Namala kapathiga nama pandrathu rowdisum na rowdisum pannuvom(vada chennai),,Safe
C017029,Kanglish,Hate Speech,Super star in uk tippa,,Safe
C017035,Tamil,Offensive,1:20 அடேய்களா என்னடா பண்ணி வச்சிருக்கீங்க,,Safe
C017044,Roman Telugu,Hate Speech,Sravanthi akka dont cry be strong V r 4u,,Safe
C017047,Tanglish,Hate Speech,remove pannungo Rajini sir oda sin gala komali team,,Offensive
C017058,Roman Telugu,Hate Speech,E tv 9 ki burra poyandhi,,Safe
C017061,Roman Telugu,Hate Speech,cutter hinduu kcr,,Safe
C017069,Roman Telugu,Hate Speech,punju vachi pitta ni dengithey nenu commentry chepijry ala vuntadhi # punjuunggamer,,Offensive
C017071,Tanglish,Hate Speech,Yenda ponugala petthu kastapattu padika vachu nalla yedathula kattikudukanum nu yevlo kanavuu kandrupanga neega unga jaathi thimira kaata ponugala yemathi thookitu poi kattikittu antha ponnaiyum nalla pathukama koduma paduthi seeralichu... Ipdi panravanugala Nadu road la Oda vittu vettanum daww...,,Hate Speech
C017090,Roman Telugu,Hate Speech,music apara lanja kodaka,,Offensive
C017092,Tanglish,Hate Speech,Ithaiyum mass nu solra oru kootam irukku 🤦‍🤦‍,,Safe
C017093,Tamil,Hate Speech,Sari epdiyo anjaliya போட்டு thalla porenga paduthu la... Cong,,Safe
C017094,Tanglish,Hate Speech,Intha trailer ku dislike pottavan rattham kakki savan,,Safe
C017098,Roman Telugu,Hate Speech,asalu inglishu sinimaalu lone ilanti padaalu untaayi,,Safe
C017100,Roman Telugu,Hate Speech,"Bhuthulu gurinchi, double meanings gurinchi nuv matladodhu anusuya plz",,Safe
C017106,Roman Telugu,Hate Speech,Wow real journalist mallanna gariki hattsoffmelaga andaru journalists vuntey asalu corruption cheyadaniki kuda bhayapadtaru anna,,Safe
C017107,Tanglish,Hate Speech,Vijay chandar Movies Vaalu - Below Average Sketch - Average Sangatamilan?????,,Safe
C017108,Tanglish,Offensive,Yaarra ivan comedy inra perula uyira vangura...Vera comedy actor yaarume illaya??,,Safe
C017112,Roman Telugu,Hate Speech,meeru konudu kaadu saaru nee biddalanti prajalu konali,,Safe
C017114,Roman Telugu,Hate Speech,pichola gurinchi vinadame gaane direct gaa epudu ii veediyo loo chuustuna,,Safe
C017128,Tanglish,Offensive,Namaku theva thavayanatha nama than adichu vanganum .... Nama edathuku nama than sanda seyanum....,,Safe
C017130,Roman Telugu,Hate Speech,orini vidu anthem inheim movies loo kii vellipoyaadu,,Safe
C017131,Tamil,Offensive,டயர் நாக்கிகளுக்கு சவுக்கடி படமா இருக்கும் போலயே.....,,Safe
C017132,Roman Telugu,Hate Speech,permission enduku ivvali intaku mundu vaadu chesinavatiki shiksha veyakunda swechcha paerutoe malli permission enduku istaaru,,Safe
