comment_id	language	category	comment
C022078	Tamil	Hate Speech	மேல் சாதின்னு சொல்ற ஒங்க எல்லா சாதியிலயும் உள்ள பெண்கள குனிய வச்சி அவளுங்க ரெண்டு ஓட்டயிலயும் விட்டு ரொம்ப நல்லாவே ஓத்து தள்ளியிருக்குறன்டா
C022085	Roman Telugu	Hate Speech	aa patta rojula record dance mulla start ittaayi
C022093	Tamil	Hate Speech	நம் மக்களுக்கு ஒன்று புரியவே இல்லை. ஒடுக்கப்பட்டவர்கள் தங்களை ஒடுக்கிய வரலாறையும், தங்களின் உரிமையை உலகம் அறிந்து கொள்ள வேண்டும் என்ற குரலாக படம் எடுக்கிறார்கள். ஆனால், இந்த படமோ அபடித்தாண்டா ஒடுக்குவேன் என்று அநீதியின் பக்கம் நிற்கிறது. இதை ஆதரிக்கும் ஒவ்வொருவரும் எங்கோ ஒரு தலித்தின் வாழ்வு ஒடுக்கப்பட துணை போகிறீர்கள். தவறு செய்யாதீர்கள் நண்பர்களே.
C022101	Tanglish	Offensive	Dei aathi.. adikkura adiyile vanthudum.. pethi...
C022103	Kanglish	Offensive	Kiran adakke innu tumba samayavide
C022108	Tanglish	Hate Speech	Dei Namma chinna vayasula oru eri la poi kulipom la.. vaa poitu varlama..?? Dei Namma athu mela nadanthunu irukom
C022110	Tanglish	Hate Speech	Oru kuripita samoogathirkku nadakkum aneedhikagalai moodi maraikkum oodagangalukku serupadiyaga Indha padam amaiyum
C022111	Roman Telugu	Hate Speech	Permit room lu enduku pettirru Thaginanka oka beer tho aguthara
C022112	Tanglish	Offensive	Views 56k Likes 100k ya yenga yo idikkuthe
C022115	Tamil	Offensive	என்னதான் நீங்கள் படம் எடுத்தாலும் Climax காட்சியை சசிகலாவால் மட்டுமே எடுக்க முடியும்
C022116	Tanglish	Offensive	Ippa vangada Bahubali boys.thalaivan Sankar kalathula erangittanda
C022118	Tanglish	Offensive	thala kku midnight la trailar release pamnalum therikavidum marhavanga vilambaram kotuthuttu day la release pannalum thala nerungamudiyadu thala matum pagalla release panna ivanunga yellam jujupi..... inime pagalla sadichitom yenru yaarum sollathingada..... thala thala thanda.......
C022124	Tanglish	Offensive	Naangalum....kola gaandula dhaan ....nee appidiye.... cinema layae irundhu...du..... Loosumadhri arasiyaluku vandha....mavane ...thookipottu midhichuduvom....
C022125	Tanglish	Offensive	Dai pundaikku poranthavane ni la vijay anna va pathu sirikka Dai unga amma yepdi da unna petha Devidiya intha comments ku ans pannu la Ni thoothukudi va un sunni ah vetti poduren
C022138	Kanglish	Offensive	Below average songs
C022142	Tamil	Hate Speech	அடுத்த சாதி பொண்ணுங்கள லவ் பண்ணி சாதிய ஓழிக்க சொல்ற எச்சபாடுக்கான படம் ஆ இருக்கும் னு எதிர்பார்க்குற
C022143	Telugu	Hate Speech	దయకర్ కు respect తెలీయదు. సారు సదివింది 3rd class. ఎదో time కలిసి వచ్చి ఇలా politics లో ఉన్నాడు కాని లేదంటే ration dukanam నడిపిస్తు ఉండెవాడు
C022145	Tanglish	Offensive	Dhanush's Swag Just Awseome .. Nammaku thevaiyanathu naamatha aaduchu vaanganum ..
C022146	Tanglish	Hate Speech	Indha maadhiri kena koothi thanama padam edukurathunala thanda innum naadu oombinu eruku
C022150	Tamil	Offensive	டைட்டில பார்த்தா, பிரியாணி கடையில் சர்வராக வேல பார்த்த சுந்தரம் தான் ஞாபகம் வருது...
C022151	Tanglish	Offensive	periya nayantaranu nenapu costume ah paaru
C022153	Tamil	Offensive	ரஜினி தமிழ் நாட்டில் பிழைப்பு நடத்தட்டும்..ஆனால் தமிழர்களை ஆழ நினைக்க கூடாது.... அதனால் அரசியலுக்கு 96 இல்ல 2016 இல்ல எப்போதும் அரசியல் கட்சி தொடங்கம இருக்கிறது தான் தமிழர்களுக்கு அவர் செய்யும் ஒரேயொரு நல்லது.....
C022155	Tanglish	Hate Speech	pakka flop thaaa mokka daww mokaaaa
C022159	Tanglish	Offensive	aishwarya rajesh yalpanam (jafnaa) tamil slang set aagala !! irritating aah irukku !!
C022160	Tanglish	Offensive	Jayam Ravi ku opposite a pesuravangalukku mukkiya shethi Poi pillaingala PADIkka vaikappa
C022161	Tanglish	Offensive	Bigil vs Nerkonda parvai...nane answer sollidran,Ans:Bigil.
C022173	Telugu	Hate Speech	గణేష్ గారు కరెక్టుగా మాట్లాడారుఈ విషయంలో హాట్సోప్
C022174	Tanglish	Offensive	Pongada Dai music oru mairum nalla illa ithukku vedhalam music paravala
C022176	Telugu	Hate Speech	మేడం గారు మీరు మాట్లాడింది 100 కరెక్ట్ మేడం గారు హాట్స్ ఆఫ్ టూ యు మేడం గారు
C022178	Roman Telugu	Hate Speech	Dabba rayulu
C022179	Tanglish	Offensive	Ipo Mattum illayaraja beethoven music ah copy adikilayaa...🤨
C022182	Kanglish	Offensive	Chiki chiki chikappa nidhe madidh saku helappa🥰🥰🥰
C022183	Kanglish	Hate Speech	Yavado yavado hakithira realu videos madi haki elwa edana neja agedre proove madi News Ali haki
C022184	Tanglish	Offensive	15k dislikes pannuna vanugalukku that last dialogue
C022191	Roman Telugu	Hate Speech	maarpu kosam prayatnistunna maa annaki ootu vestam
C022193	Roman Telugu	Hate Speech	Potaru potaru array
C022194	Tanglish	Hate Speech	Ithu yenna you tube video vada Posukkunu rajini ya kalaichutinga Tamil movie Lea kalaicha epudi da ....
C022197	Telugu	Hate Speech	వచ్చిందయ్యా మహా పతివ్రత.... అనసూయ అంటేనే నిలువెల్లా బూతు..... ఈమె చెబుతుంది నీతులు... తూ..... సిగ్గుమాలిన జన్మ
C022202	Roman Telugu	Hate Speech	Ktr baluputo matladutundu
C022206	Tamil	Hate Speech	மொத்த 9 களுக்கும் ஒத்த சாதி ஆம்பளதான் எதிரியா
C022207	Kanglish	Offensive	Unique tune.. Ade thamte
C022208	Tanglish	Offensive	Po da thevidiyaa paiya
C022212	Tamil	Offensive	சூர்யா படம் வந்தாலே ஏன் ஆமைகள் வரிசையா வந்து அழுவுது
C022213	Tanglish	Hate Speech	Neruppil pirandhaval ...varugiral... asurargalai theekkiraiyakka...andru manabangam seidhavanin udhirathai thalaiyil theithaval....indru naveena draupathiyaga varugiral pennaiyum mannaiyum thodubavargalai veezthuvadharku....
C022217	Tanglish	Offensive	Kaasa micham panna paatha Sathiyama music nalla irukkadhu
C022220	Roman Telugu	Hate Speech	west godavari loo adhee jarigindi
C022223	Roman Telugu	Hate Speech	beautiful medam
C022228	Telugu	Hate Speech	ఇలాంటి వీడియోస్ పెట్టి మా పరువు తీయకండి
C022230	Tanglish	Hate Speech	Nadaga kadhal oorula apadi yevlo nadakudhu sollunga paapom . Thappu na yellamae thappu than othukuren. Ana nigalam ooruku veliya oru theru irukume adha konjam thirumbi kuda paakadhavanga nigalam needhi neram nu pesum bodhu than comedya iruku.
C022237	Tamil	Hate Speech	உயர்ந்த சாதி தாழ்ந்த சாதி இந்த வேறுபாடு எப்ப வந்துச்சு யாரால வந்துச்சு அதை சொல்லிட்டு சாதிய பத்தி பேசுங்கப்பா .... வன்னியன் சத்ரியன் கவுண்டன் சத்ரியன் தேவன் சத்ரியன் இன்னும் யார் யாரோ சத்ரியன் னு சொல்றவுனாக எல்லாம் யப்பா ஆண்ட பரம்பரைகளா இந்த ஒடுக்கப்பட்ட பயலுக ல விடுங்க அவனுக கோவிக்குள்ள கூட வர வேணாம் நீங்கல்லாம் நல்லா போய் கருவறைல சாமிய கும்புடுங்க பா .......போய் பிராமண ண்ட போய் நான்தான் ஆண்ட பரம்பரை நான்தான் சாமிய தொடணும் நீ போடா பொட்ட பயலே னு மட்டும் சொல்லுங்க உங்க புடுக்கு இருக்கானு பாப்போம் ....
C022243	Tanglish	Offensive	Porambokku jayam ravi...Marriage ku thalaivar kaiyala thali eduthu katitu...molla Mari badu
C022244	Tanglish	Offensive	Background le visuvasam bgm maathiri enaku mattum than kekutha ? 🤔
C022245	Tanglish	Offensive	sema thala u r great intha character ah vj ku kudutha sathiyma mokka potrupan
C022250	Roman Telugu	Hate Speech	ii 75kurma bhaarataswaatantra deshaaniki nijamaina geept icchaavu anna nuvvu desamloni prativaadu garvapadela vundhi
C022253	Kannada	Hate Speech	ನಮ್ d boss ಶಾಟ ಕ್ಕೂ ಸಮ ಇಲ್ಲಾ...ಮಗನೇ... ಅವುನ್ ಮಾಡಿದ ಫಿಲಂ ಅಷ್ಟು ಎಕ್ಸ್ಪೀರಿಯೆನ್ಸ್ ಆಗಿಲ್ಲ ತುಲ್ಲರೆ ಮಾತಾಡ್ತೀಯಾ ಹಾದರಗಿತ್ತಿ ಮಗನೇ.... lo mari evrella one film madi buildup tagotare... ಅವ್ರು ಫಸ್ಟ್ ಫಿಲಂ ಅಲ್ಲೇ ಕ್ರೇಜ್ ಹುಟ್ಟಿ ಹಾಕಿದವರು.... ಅವ್ರು ಫಸ್ಟ್ ಫಿಲಂ (ಮೆಜೆಸ್ಟಿಕ್ )ಫಿಲಂ ರಿಲೀಸ್ ಆದಾಗ.. ನಿನ್ ತುಣ್ಣಿ ಇನ್ನು ಬಲ್ತು ಇರ್ಲಿಲ್ಲ ಗೂಬೆ ತುಲ್ಲಿಗೆ ಹುಟ್ಟಿದ್ ಬೋಳಿಮಗನೇ ನಿಮ್ಮ ಅವ್ವ ಸೂಳೆ
C022257	Roman Telugu	Hate Speech	jai megastar ii director good movies teesaadu
C022258	Tanglish	Offensive	Padipa vachitu namalalaiyum onnum panna mudila chithambaram!!
C022273	Tanglish	Offensive	Viswasam trailor 2 hrs la vandha like kooda indha trailor ku ithana naal la varala
C022277	Roman Telugu	Hate Speech	Volunteer chesedhi seva.. Praja seva oka rakamga... Adhi emi govt job kadhu, choppinavanni thala upu kunta cheyani ki. Time paduthundi andhariki anni chusukoni, vallaku help cheyali ante. Volunteer anevaru help chese vallu, society ki, andhukani help chepinchukondi anni Musukoni.. Pani kadhu chepinchukovalsindi.
C022281	Tamil	Hate Speech	கொல்லிக்கட்டையை வச்சி காதல தீச்சி விட்டுங்க தொல்லையே இருக்காது.
C022284	Roman Telugu	Hate Speech	100rs revanth batch chi chi Congress ki deposit kuda radhu
C022285	Tanglish	Hate Speech	confirm padam flop aaga pothu......waste....tamil makkalukku edukka sonna...ivanunga english padatha tamilla dup pannirukkanga..... karumam da
C022288	Tanglish	Offensive	Evlo periya padam ah irundhalum tr ku 600mb dhan
C022290	Tanglish	Offensive	Did anyone noticed ayas and kutty munji
C022296	Kannada	Offensive	ಹೌದು ಸ್ವಾಮಿ ಇಂತ ನನ್ ಮಕ್ಕಳಿಗೆ ಎಷ್ಟು ಉಗಿದರೂ ಬುದ್ಧಿ ಬರಲ್ಲ ನಮ್ಮಲ್ಲೇ ಹೌರೆ ಶತ್ರುಗಳು ಐ ಡೋಂಟ್ ಲೈಕ್ ಚೈನಾ
C022300	Kanglish	Offensive	vinu Hindu Muslim Cristian etc etc... Yella naav naav madkondirodu. Yella manushyaru onde
C022302	Roman Telugu	Hate Speech	Siguu vundali mokaniki la......a
C022307	Tanglish	Offensive	Atlee sir.....MounaRaagam kathaiya suttu Raja Rani panninge.....Vijayakanth nadicha Chatriyan kathaiya suttu Theri pannithinge....aduthathu enna?
C022308	Tanglish	Hate Speech	15k dislike blue sattai kuruma grp thana kathari savanga
C022309	Roman Telugu	Hate Speech	bagunnaru talli kodukulu story
C022311	Tanglish	Offensive	Evanachum trailer epadi irukunu solltrana paru🤣
C022315	Telugu	Hate Speech	Aa reporter laffut gaadu....aa girl correct ga ne cheppindhi, first lo ne ఆమె చెప్పింది Virat Kohli ishtam ani l, malli vaade cricket ఎవరంటే ఇష్టం అని అడుగుతున్నాడు, వాడికి అసలు knowledge undho లేదో na doubt
C022317	Tanglish	Offensive	Ennada nerkonda parvai mathiri iruku bgm agree
C022322	Roman Telugu	Hate Speech	AnnA malla reddy NV me college lo fee thakuva cheyu Chalu NV kaarmikulani billionaires chesthava
C022324	Tanglish	Offensive	Sathyama indha trailerah dis like panna romba kastam avangaluku vera ena pudikumnu terla
C022328	Kanglish	Offensive	Lo Nan magne
C022333	Roman Telugu	Hate Speech	vammooem anna action aah ii action movie loo chaalaa hits vachevi
C022336	Tanglish	Offensive	Enn@ Kodum Sir Ethu . . .
C022337	Tanglish	Offensive	Yaarellam Trailer Paakama Like Panninga .??? Inga Like Podunga
C022344	Tamil	Hate Speech	தமிழ்நாடு தச்சு ஆசாரி... சங்கம் சார்பாக இந்த படத்தை வரவேற்கிறோம்.... எல்லா நம்ம தமிழ்நாடு அரசாங்கம் அடித்தட்டு மக்களாக இருப்பவங்கள... முன்னேற்றி பிழைக்க தான் வழிய கமிச்சாங்க... அதுக்காக ..... இருக்க இடம் கொடுத்தா படுக்க இடம் கேப்பாய்களா...
C022348	Kanglish	Offensive	Parthasarathi hogo sede gayash gojjekesari released in nayimari tunne
C022351	Tamil	Offensive	அட்லி புதுசா ஒரு ஸ்கிரிப்ட் இருக்குன்னு சொல்லுவான் நம்பாத
C022353	Tanglish	Hate Speech	Wow mind blowing singampuli sira kuda seriousa katirukanga
C022357	Tanglish	Hate Speech	Dei over built up ah irukkey..thambi Intha padamachu oduma?
C022358	Telugu	Hate Speech	బాగా చెప్పారండి ఇలాంటి వాళ్ళని మళ్లీ గెలిపించుకుంటే ఇంకా బూతులకు హద్దు పొద్దు ఉండదు ఏమాత్రం సంస్కారం ఉన్నోళ్లు అలాంటి వారికి ఓట్లు వేయరు
C022360	Telugu	Hate Speech	ఆ శ్రీ గాడిమీద ఆంక్షలు విధించారుశ్రీ మోహన్ బాబు గారు శ్రీ బాలయ్య బాబు గారు దిల్రాజు గారు ఇంకా చాలా మంది నిర్మాతలు నిర్ణయం తీసుకున్నారు
C022361	Roman Telugu	Hate Speech	Vidu vidi Kullu jokulu thuuuu
C022367	Roman Telugu	Hate Speech	Alaga pogidikoni seda dengaru andaru
C022369	Kannada	Hate Speech	ಲೈಕ್ ಮಾಡಿ ಇಲ್ಲ ಅಂದ್ರೆ ನಿಮ್ಮನೆ ದೇವ್ರು ಶ್ರೀ ಮನ್ನಾರಾಯಣ ನ ಮೇಲಾಣೆ.nnHANDS UP...
C022375	Tanglish	Offensive	Arunvijay Masssssssss Avarukkaga matttume Padam paarpan
C022376	Roman Telugu	Hate Speech	dengethe desam pothadhi ball degradun beyy dehradun
C022377	Roman Telugu	Hate Speech	Geniune banner and andharu chala hardwork chestharu
C022378	Tanglish	Hate Speech	Ajak Ali Baadu Pans - enga irukinga? Summa kanna mulichu dislike potu time waste pannama poi thoongunga - ellam vayasana naainga dhan late night kannu mulikadhinga...
C022383	Roman Telugu	Hate Speech	beautiful gaa cheppav raja
C022395	Telugu	Hate Speech	చాలా కష్టపడ్డారు అన్నయ్య అందుకే అంత మంచి హోదాలో ఉన్నారు
C022396	Tamil	Hate Speech	பொள்ளாச்சி காதல் விஷயம் இருக்கா படத்துல.. அவிங்கள விட்டுட்டா படம் முழுமை பெறாதே... இன்னும் யோக்கியமா காட்டி படம் எடுக்கலாம்..ரொம்ப நல்லவங்களா பொள்ளாச்சி காரண காட்டுறிங்க நம்பிட்டோம்.. அட போங்கடா.
C022398	Tanglish	Hate Speech	Enada RAJINI ya ipdi senju vitutinga🤣
C022400	Tamil	Hate Speech	Palli, kalla, maravan, vellalaru, கவுண்டன்,, நாய்க்கர் உங்க எல்லாத்துக்கும் ஆண்மை இருந்த ஏன் உங்க பொண்ணுங்க எங்கள தேடி வருது.... போய் முதல்ல சேலம் சித்த வைத்தியரை பாருங்க... அப்பறமா வந்து எங்கள எதிர்த்து படம் எடுங்க.....
C022407	Tanglish	Offensive	2017 Dec munnadi, thalaivar naan arasiyaluku varuven nu sonna oru video proof uh kaatunga ?
C022409	Tanglish	Offensive	Dai entha trailer pudekama polambura naigala... ungala Enna solli thitturathu nu Theryala Goatha baadu....
C022410	Tanglish	Offensive	Inda padathilayum nithya menon out ah??
C022412	Tanglish	Offensive	Poga da madda nallave illa su
C022413	Tanglish	Offensive	Viswasam enna aaka pokutho... Pongal avalavum thaanah
C022415	Telugu	Hate Speech	డాన్స్ లో ఆయన్ని మించలంటే మరో చిరంజీవి రావాల్సిందే
C022421	Kanglish	Offensive	Prasad yen yogyathey. Chappar. 3000 gintha hechchu cinema nodidheeni naanu. Nann abipraya kotrey yeno boli magane muddhey thinna louda. nThooo!!
C022426	Tamil	Hate Speech	திருட்டு வண்டியும் திருட்டு போனும் வச்சிகிட்டு இவனுங்க பண்ணுற அலப்பறை இருக்கே............. பிச்சைக்காரன் மாதிரி பள்ளிக்கூடம் வாசல்ல நின்று சின்ன பொண்ணுங்கள மயக்குவது.... மட்டி பு***
C022439	Tanglish	Offensive	Intha Mari ponungaluku ela ipdi tha nadakum Thala: apdi ela nadakathu Nadakakudathu
C022440	Kanglish	Hate Speech	Video 18 min innu video upload maadi 12 min agide complete video nodade dislike madthirallo
C022443	Tanglish	Offensive	Trailer pakurathuku munnadi vijay fan eppo thala fan
C022449	Tanglish	Hate Speech	Ada Ena bro title idhu kaapan oopannikitu , better ah oru title kudava kidaikala ungaluku
C022450	Tanglish	Offensive	Rajesh m.selva engada ennoda thalaivan name Vikram
C022462	Kannada	Offensive	ನನಗು ಕನ್ನಡ ಸಾಕು
C022466	Tanglish	Offensive	ellam singam padathalayum kathitae iruntha yepade .cotton selavu athigam aguthula
C022468	Roman Telugu	Hate Speech	Papam erry flower ayipoindu
C022475	Tanglish	Hate Speech	Summa alluthu ppa Ovvoru frame um puthusa irukku FDFS LOCkED
C022481	Roman Telugu	Hate Speech	sinee kalaamatalli muddubidda megastar chiranjeevi garu hatsoff too you annaiah
C022486	Telugu	Hate Speech	సార్ మీ తండ్రి కొడుకుల పాత్రలు చాలా సూపర్ గా ఉంటాయి సార్ నాకు కూడా ఇద్దరు కొడుకులు వాళ్లతో ఎప్పుడు ఇలాగే కామెడీగానే ఉంటాను
C022487	Telugu	Hate Speech	చిన్న అవుట్ సోర్సింగ్ ఉద్యోగులం మమ్మల్ని బాధపెడుతున్నావు ..త్వరలో మీ నాన్న దగ్గరికి వెళ్తావు రా
C022490	Tanglish	Hate Speech	Dei ara loosu koodhigala.. 96 la rajini politics varuven nu sollave illa.. idhunga loosu thanama teaser la podraan na.. vekkame illaama ellaa thaayolingalum #comali team ku oombi vidraanga ...
C022492	Tanglish	Hate Speech	Caste Ella Ella soldringa,,,,,,apuram enda eda odihukudnu 20%,30% tharinga,,,,,,,. adhula ellaya da caste ,,,,,,,,,,apuram enda entha govt job kum community certificate kekuringa,,,,,,,
C022494	Tanglish	Offensive	Thalaiva back.....kola gandula irukan oth*** odiru
C022497	Roman Telugu	Hate Speech	Ammai ni pattukoni kavalissindhi konuko ani anta vurukuntunda
C022501	Roman Telugu	Hate Speech	Jagan KD No1 behavior is like Thuglaq after some time Jagan KD No 1 will make 30 Capitals in AP Jagan will ask Modi to make 4 Capitals for INDIA East West North South Capitals
C022513	Tanglish	Offensive	Super star na adhu rajini sir mattum tha vera yarunaalayum antha patta tha vanga muditadhu da
C022516	Tanglish	Offensive	Pa Ranjith...Thiruma sunni avarkalauku intha padam samparpanam Enga v2du ponnuku nagathan da kaaval
C022521	Tamil	Offensive	அடங்க மறு அத்துமிறு குருமாகான் தீவிரவாத விசிக கு செருப்படி ஜாதி வெறி தெருமாவளவன் 🤣🤣
C022523	Roman Telugu	Hate Speech	ponniyan selvan nee kuudaa manam mundu undi nadipinchaali mana samskruti nee chatty cheppe prati cinema hit avvali
C022526	Tanglish	Hate Speech	Mokka padam ,,, utter flop ha ha ha
C022538	Kanglish	Offensive	Rashmika ge Burnol Thankodrappa!!
C022539	Tamil	Hate Speech	இந்த ஒரு டிரெய்லருக்கே சிறுத்தை குட்டிகளின் கதறல் அதிகமாகவே இருக்கும்.. சாதி படம் என்று நடுநிலை என்ற பெயரில் பல நாயிங்க அந்த பரதேசி சிறுத்தை நாயிங்களுக்கு வக்காலத்து வாங்கிட்டு வருவானுங்க நாடகக்காதல் கும்பலுக்கு எதிராக அனைத்து சமுதாயமும் ஒன்று சேரும் நேரம் இந்த படத்தை ஆதரிப்பதின் மூலம் உணரலாம்..
C022541	Tanglish	Offensive	Idhula yaaru psycho ? Udhayanidhi ah, mysskin ah illa producer ah
C022549	Roman Telugu	Hate Speech	Experience lekapothe okasari poyi posani adagandi ra notti dula valani ela deal chesthamo
C022552	Tanglish	Offensive	Thala ya thaappa cmnt panuravanungalaam corn from kuchikaari movanungaa thaaan
C022563	Roman Telugu	Hate Speech	Ni over action chalu ra babu
C022567	Tanglish	Offensive	yar da antha kabali vara solluda avane
C022570	Tamil	Offensive	என்னடா சீமான் அண்ணன் சிரிப்பு காப்பி அடிக்கிறியா..
C022574	Roman Telugu	Hate Speech	bjp leaders enta labaor na kodukulu ante rape cheshe vallani brahamin ani cheppi vadilesaru
C022581	Tanglish	Hate Speech	Ne Yengala thotruka kudathu #Singaram(as)Ravi Naga Thottavata vittathu illa..! #Thappupanitiyea_Ravi #FlopforComali..
C022582	Tanglish	Hate Speech	Naan adichu slra padam mokkaya tha irkum
C022584	Tamil	Hate Speech	திக and தெருமா பாய்ஸ் கதறபோறானுக.. அடங்கமறு அத்துமீறு.
C022587	Tamil	Hate Speech	மொத்த சாதியும் ஒரு சாதிக்கு எதிரா நிக்குது...... என்னா சமூகம் டா இது தூ...........
C022593	Roman Telugu	Hate Speech	Nuv politics loki vellali anukutunnavemo.. Ila matladithe ninnu address lekunda kodatharu prajalu
C022596	Tanglish	Offensive	44k views.. But 56k likes ah?????? Howwwww
C022598	Roman Telugu	Hate Speech	Apande ra me ranku veshalu, me kullu comedy
C022599	Tanglish	Offensive	Movie epdi irunthalum kandippa Vikram sir lookkuga movie fdfs Papen... because July 19 my birthday also......
C022602	Roman Telugu	Hate Speech	Saami Kadha kannaa venakaala nuvv cheppina vivarana baagundi…
C022605	Kanglish	Hate Speech	Dislike madiroru rashmika kade avre erbeku!
C022606	Telugu	Hate Speech	అసలు వీళ్లకు విచ్చలవిడిగా ఖర్చు పెట్టడానికి ఇన్ని డబ్బులు ఎలా వస్తాయో?
C022607	Tanglish	Hate Speech	Thirupathi koyilila kooda ivlo pichakkaranga irukkamatanungada! Like venuma like! Chee thoo
C022609	Tanglish	Offensive	Aai... Yevanu kaachum ponnttaati pulla Sentiment irunthaa Oodi padhungkiru.Kola kaandula irukkan.Varraar thalaivaru....PETTA PARAAKKKKKK.....
C022611	Roman Telugu	Hate Speech	ome shree paarvatipataye haraa haraa mahadeva shambho shankara ome namaha shivaya
C022615	Tanglish	Offensive	Ennaku ennavo kanithan kathai ya konjam modify pannuna maathiri irruku
C022616	Tanglish	Offensive	Enga Da enga Thalaiva vjs kanom
