comment_id,verdict,corrected_category,reason
C038557,Wrong,Offensive,vulgar personal insult
C038559,Correct,,crude language about a game
C038562,Wrong,Safe,fan hype comment
C038564,Wrong,Safe,casual movie comment
C038576,Wrong,Safe,mild movie opinion
C038578,Wrong,Safe,movie casting opinion
C038579,Unsure,,unclear/garbled meaning
C038581,Wrong,Safe,"mild personal criticism, no hostility"
C038586,Correct,,mocking actor's appearance/style
C038589,Wrong,Safe,"fan loyalty comment, unclear but benign"
C038594,Correct,,vulgar gendered insult
C038598,Wrong,Offensive,mocking/emasculating insult of individual
C038605,Wrong,Offensive,personal jab about education
C038609,Wrong,Safe,movie music editing comment
C038611,Wrong,Offensive,"mocking movie trailer, no group hate"
C038613,Wrong,Safe,praise for acting
C038616,Unsure,,unclear xenophobic-tinged remark
C038619,Correct,,misogynistic slur plus caste reference
C038622,Wrong,Safe,"pro-Dalit movie reference, not hate"
C038624,Wrong,Safe,movie villain look comparison
C038625,Wrong,Safe,unclear but appears positive
C038626,Wrong,Safe,"frustration about trending, no hate"
C038633,Wrong,Safe,movie release speculation
C038634,Wrong,Safe,"condescending YouTube advice, not offensive"
C038635,Wrong,Safe,cricket sports comment
C038643,Wrong,Safe,political praise comment
C038644,Wrong,Safe,"sarcastic media criticism, mild"
C038645,Unsure,,"garbled text, unclear meaning"
C038647,Unsure,,"unclear phrase, ambiguous tone"
C038650,Correct,,mocking actor's interfaith marriage
C038651,Correct,,insulting mockery of actor/movie
C038659,Wrong,Safe,mild sarcastic political comment
C038664,Wrong,Safe,"rhetorical question about upbringing, no hate"
C038666,Wrong,Safe,motivational comment
C038668,Wrong,Safe,sympathetic comment about actress
C038673,Correct,,mocking insult calling person a joker
C038675,Wrong,Offensive,"personal accusation, not group hate"
C038683,Unsure,,"mixed sarcastic congratulation, unclear"
C038686,Wrong,Safe,comment about movie viewership
C038698,Wrong,Safe,fan comment about actor
C038700,Wrong,Safe,neutral producer comment
C038706,Wrong,Offensive,"political rivalry insult, not identity hate"
C038708,Wrong,Safe,negative movie review
C038726,Wrong,Safe,"political/regional question, no hate"
C038729,Wrong,Safe,fan frustration comment
C038733,Correct,,mocking insult about actor's body
C038735,Wrong,Safe,movie critique comment
C038739,Correct,,dehumanizing insult toward group
C038740,Wrong,Safe,praise for production banner
C038742,Wrong,Safe,movie reference joke
C038744,Wrong,Safe,praise comment for actor
C038745,Wrong,Offensive,"vulgar personal insult, not group hate"
C038747,Wrong,Safe,casual request comment
C038749,Unsure,,"unclear tone, possible boast/threat"
C038754,Correct,,vulgar misogynistic insult
C038759,Wrong,Safe,compliment about honesty
C038760,Wrong,Safe,neutral comment about repeat viewers
C038763,Correct,,body-shaming comparison of actress
C038765,Wrong,Safe,praise for father-son roles
C038766,Wrong,Offensive,"vulgar aggressive trash talk, not hate"
C038768,Unsure,,unclear gossip comment
C038769,Wrong,Safe,praise for political leader
C038771,Wrong,Offensive,political insult using dehumanizing term
C038773,Wrong,Threat,curse wishing death/disappearance
C038774,Wrong,Safe,music comparison comment
C038775,Wrong,Safe,"fan rivalry banter, playful tone"
C038778,Correct,,mocking insult comparing to beggars
C038786,Wrong,Safe,fan wish for show continuation
C038788,Wrong,Safe,casual remark about likes
C038801,Wrong,Safe,mild complaint about language use
C038805,Wrong,Offensive,"insult toward directors, no specific protected group"
C038810,Wrong,Safe,promotional comment about YouTuber
C038813,Wrong,Safe,fan affection comment
C038815,Wrong,Offensive,hostile rhetoric threatening legal action
C038822,Correct,,vulgar insult
C038825,Wrong,Safe,mild sarcastic remark about likes
C038830,Wrong,Offensive,"vulgar corruption complaint, not group hate"
C038836,Wrong,Safe,"anti-caste message, not hate"
C038846,Wrong,Safe,mild mockery of singing style
C038848,Correct,,caste-based slur insult
C038849,Wrong,Safe,simple negative opinion
C038850,Wrong,Safe,"fan rivalry taunt, mild"
C038851,Unsure,,garbled/unclear text
C038853,Unsure,,"unclear text, possibly vulgar"
C038859,Wrong,Safe,fan comment
C038867,Correct,,explicit caste-based hate speech
C038870,Unsure,,unclear violent imagery
C038871,Unsure,,garbled caste-related text
C038878,Wrong,Safe,"praise for a strong roast/comeback, no hate"
C038879,Wrong,Offensive,"personal insult, not group hate speech"
C038881,Wrong,Safe,sarcastic remark about video quality
C038882,Wrong,Safe,"list of actor/movie names, no hate"
C038886,Wrong,Safe,political praise comment
C038890,Wrong,Offensive,"political insult, not identity-based hate"
C038904,Wrong,Offensive,personal insult
C038907,Wrong,Safe,casual question about movie release
C038912,Correct,,vulgar caste/gender insult toward fans
C038918,Wrong,Safe,praise comment
C038924,Correct,,sarcastic dismissive contempt
C038928,Correct,,insult calling director a dog
C038930,Wrong,Safe,praise for actor's voice
C038934,Wrong,Safe,praise comment
C038936,Wrong,Safe,neutral quote about entering politics
C038937,Correct,,vulgar insult using slurs
C038942,Wrong,Safe,mild sympathetic criticism
C038943,Correct,,vulgar caste-based hate speech
C038946,Wrong,Safe,regional pride comment
C038955,Wrong,Safe,mild negative review
C038960,Correct,,vulgar personal insult
C038961,Wrong,Safe,"list crediting cast/crew, no hate"
C038963,Wrong,Offensive,dismissive rhetorical insult
C038964,Wrong,Safe,praise comment
C038965,Wrong,Safe,praise for movie/director
C038970,Wrong,Safe,comment about trailer quality
C038971,Unsure,,short unclear phrase
C038974,Wrong,Safe,casual comment about views
C038975,Wrong,Safe,casual movie comparison
C038977,Wrong,Offensive,dismissive political jab
C038981,Wrong,Safe,"rhetorical question, no insult"
C038984,Wrong,Safe,"confused criticism of statements, no hate"
C038990,Wrong,Safe,positive praise comment
C038992,Wrong,Safe,educational/spiritual comment
C038993,Unsure,,ambiguous caste-related remark
C038995,Wrong,Safe,music comparison critique
C038996,Wrong,Offensive,"vulgar personal insult, not group hate"
C039002,Wrong,Safe,praise comment
C039003,Wrong,Safe,mild political mockery
C039005,Wrong,Safe,neutral movie opinion
C039006,Wrong,Safe,casual comment about view milestones
C039008,Wrong,Threat,hostile wish for destruction of filmmaker
C039011,Wrong,Safe,garbled fan hype comment
C039012,Wrong,Threat,wishes accident/coma on actor
C039019,Wrong,Safe,mild complaint about copying
C039026,Correct,,vulgar sexual insult
C039027,Wrong,Threat,threatening violent language
C039028,Wrong,Offensive,"vulgar corruption insult, not group hate"
C039029,Correct,,extremely vulgar sexual insult
C039030,Correct,,vulgar insult
C039031,Unsure,,"short unclear phrase, possibly vulgar"
C039036,Wrong,Safe,casual comment
C039037,Wrong,Safe,positive encouragement comment
C039040,Wrong,Offensive,"personal insult, not group hate"
C039044,Wrong,Sexual Harassment,explicit vulgar sexual insult
C039051,Wrong,Offensive,"short insult, not group hate"
C039052,Wrong,Safe,neutral political reference
C039053,Wrong,Offensive,"political sarcasm, mild insult"
C039054,Wrong,Safe,praise for a roast video
C039055,Wrong,Hate Speech,vulgar caste slur disrespecting Ambedkar
C039061,Wrong,Safe,positive comment about a person
C039063,Wrong,Safe,playful fan mockery
C039064,Wrong,Safe,praise for actor
C039066,Wrong,Safe,casual comment
C039067,Unsure,,unclear phrase
C039075,Wrong,Offensive,sarcastic mocking criticism
C039085,Wrong,Safe,praise/exclamation
C039086,Wrong,Safe,praise for movie
C039090,Wrong,Safe,fan hype/emotional praise
C039097,Wrong,Safe,vague political comment
C039098,Wrong,Safe,mild praise with slight jab
C039099,Wrong,Safe,casual comment
C039100,Wrong,Safe,"mild criticism, not hate"
C039101,Wrong,Offensive,personal accusation of theft
C039102,Wrong,Offensive,"vulgar personal insult, not group hate"
C039116,Unsure,,"dark/morbid joke, ambiguous intent"
C039117,Wrong,Safe,sympathetic comment
C039119,Wrong,Offensive,mocking political figure
C039121,Wrong,Offensive,mocking insult about illiteracy
C039126,Wrong,Safe,casual comment about dislikes
C039131,Wrong,Safe,movie comparison comment
C039140,Wrong,Safe,joke about dislike count
C039142,Wrong,Offensive,"personal insult, not group hate"
C039143,Wrong,Safe,mild criticism about acting age
C039147,Wrong,Safe,mild criticism of director's choices
C039151,Unsure,,unclear phrase
C039153,Wrong,Offensive,ableist mocking comparison
C039157,Wrong,Safe,"mild disdain expression, casual"
C039160,Wrong,Offensive,personal insult
C039163,Correct,,crude language taunting fans
C039164,Wrong,Safe,"mild criticism, not hate"
C039169,Wrong,Offensive,body-shaming comment about teeth
C039170,Wrong,Safe,"media criticism, not hate"
C039178,Wrong,Threat,violent threat against videographer
C039189,Correct,,vulgar misogynistic insult
C039191,Wrong,Safe,fan praise comment
C039194,Wrong,Safe,neutral speculation about politics
C039199,Wrong,Safe,mild criticism about dance
C039215,Wrong,Safe,mild criticism about dialogue
C039216,Wrong,Safe,"sports/political comment, no hate"
C039218,Wrong,Safe,"fan hype rhetoric, not real threat"
C039219,Wrong,Safe,vague philosophical comment
C039225,Wrong,Safe,self-reflective comment
C039228,Wrong,Safe,unclear movie comment
C039246,Wrong,Safe,comment about piracy platforms
C039248,Wrong,Safe,"Tamil pride/nationalist sentiment, no direct hate"
C039254,Wrong,Safe,positive statement
C039259,Wrong,Safe,political praise
C039271,Wrong,Safe,praise for leader/movie
C039282,Wrong,Offensive,"mocking rival fans, not group hate"
C039284,Wrong,Safe,movie release comparison comment
C039289,Wrong,Offensive,personal political insult
C039292,Wrong,Safe,praise for acting
C039293,Correct,,dismissive insult of actor
C039294,Wrong,Hate Speech,vulgar caste-based insult toward director
C039295,Wrong,Safe,praise for movie
C039296,Wrong,Safe,mild complaint about dislikes
C039299,Wrong,Offensive,short insult
C039300,Correct,,insult calling commenter a fool
C039304,Wrong,Safe,"mild criticism, not hate"
C039313,Wrong,Safe,praise for leader
C039314,Wrong,Safe,compliment about appearance
C039315,Wrong,Offensive,vulgar insult toward channel
C039317,Wrong,Safe,unclear political comment
C039329,Wrong,Safe,positive statement
C039333,Wrong,Safe,praise comment
C039339,Wrong,Safe,praise for movie trailer
C039340,Wrong,Safe,praise for director
C039341,Wrong,Safe,compliment about dance
C039344,Wrong,Safe,"fan hype rhetoric, not real threat"
C039346,Wrong,Safe,encouragement comment
C039347,Wrong,Safe,fan comment
C039353,Wrong,Safe,fan hype comment
C039355,Wrong,Offensive,personal political insult
C039358,Wrong,Safe,religious/philosophical comment
C039360,Wrong,Safe,praise comment
C039362,Wrong,Safe,mild criticism comparing actors
C039372,Unsure,,"critical caste commentary, ambiguous tone"
C039386,Wrong,Safe,"mostly praise, idiomatic dismissal of critics"
C039391,Wrong,Safe,mild fan banter
C039396,Wrong,Safe,fan hype praise
C039414,Correct,,mocking insult calling person a madman
C039425,Wrong,Offensive,"nationalistic jab, mild"
C039430,Wrong,Safe,neutral comment about video editing
C039431,Wrong,Safe,enthusiastic fan comment
C039434,Wrong,Safe,political praise comment
C039441,Correct,,regional group stereotype/generalization
C039445,Wrong,Safe,neutral question
C039448,Wrong,Safe,positive statement
C039453,Wrong,Safe,"mild complaint, not offensive"
C039461,Wrong,Offensive,"vulgar remark mocking director, not group hate"
C039463,Wrong,Safe,"neutral comment, no offense"
C039466,Wrong,Offensive,"vulgar insult toward tiktok users, not identity hate"
C039474,Correct,,caste and gender dehumanizing generalization about women
C039475,Wrong,Safe,"praise/compliment, no hate"
C039487,Wrong,Safe,"political statement, no vulgar insult"
C039490,Wrong,Safe,praise for actor
C039493,Wrong,Safe,fan praise
C039495,Correct,,sarcastic personal mocking accusation
C039498,Wrong,Safe,"opinion about movie release, no insult"
C039507,Correct,,"personal mocking insult, not group hate"
C039508,Wrong,Offensive,"generic insult about tiktok users, not identity hate"
C039512,Wrong,Safe,"movie critique, no personal insult"
C039514,Wrong,Safe,"critical question, no hate"
C039515,Unsure,,garbled/unclear text
C039516,Wrong,Safe,inspirational rags-to-riches comment
C039517,Wrong,Safe,"exasperated movie complaint, no insult"
C039518,Wrong,Safe,"political opinion, no hate"
C039525,Wrong,Safe,positive comment about actors
C039527,Wrong,Safe,"fan complaint, no hate"
C039533,Correct,,hostile personal remark toward named individuals
C039536,Wrong,Safe,"mocking movie comment, no hate"
C039542,Wrong,Offensive,"mocking insult toward activist groups/individuals, not caste-class generalization"
C039547,Wrong,Safe,"fan comparison, no offense"
C039550,Wrong,Safe,music critique opinion
C039555,Wrong,Offensive,"personal insult against individual, not group hate"
C039558,Wrong,Safe,praise comment
C039563,Wrong,Safe,fan movie banter
C039571,Correct,,mocking personal insult
C039573,Wrong,Safe,music comparison comment
C039574,Unsure,,garbled/unclear text
C039579,Wrong,Safe,opinion about movie style
C039582,Wrong,Safe,"meme joke, no insult"
C039585,Wrong,Safe,"comment condemning caste hatred in movies, not hate itself"
C039588,Wrong,Safe,praise comment
C039597,Wrong,Safe,eulogy/tribute comment
C039598,Wrong,Safe,fan praise
C039602,Unsure,,blank/empty comment
C039604,Unsure,,garbled/unclear text
C039615,Wrong,Offensive,"mocking accusation of copying, personal not group"
C039618,Wrong,Safe,praise comment
C039624,Wrong,Safe,"movie review, mostly positive"
C039628,Correct,,mocking insult about actor's singing
C039629,Unsure,,ambiguous political/threat reference
C039631,Wrong,Safe,"crude joke, not personal insult"
C039633,Wrong,Safe,"fan hyperbole, no hate"
C039635,Wrong,Safe,"social commentary, no hate"
C039651,Wrong,Offensive,"mocking personal insult, not group hate"
C039652,Wrong,Safe,"critique, no hate"
C039653,Wrong,Safe,movie dialogue joke
C039657,Unsure,,unclear meaning
C039659,Correct,,mocking personal insult
C039660,Wrong,Offensive,"mocking personal insult, not group hate"
C039667,Wrong,Safe,"political opinion, no hate"
C039672,Wrong,Safe,"aesthetic critique, no hate"
C039675,Wrong,Safe,neutral movie comparison
C039682,Wrong,Safe,fan praise
C039687,Unsure,,garbled/unclear text
C039688,Wrong,Safe,"movie critique, no hate"
C039691,Wrong,Safe,"fan rivalry banter, no hate"
C039692,Correct,,mocking personal insult about appearance
C039693,Wrong,Safe,neutral comment
C039696,Unsure,,garbled/unclear text
C039707,Wrong,Safe,"movie critique, no hate"
C039710,Wrong,Offensive,"generic insult toward tiktokers, not identity hate"
C039711,Wrong,Safe,neutral anticipation comment
C039714,Unsure,,garbled/unclear text
C039716,Wrong,Safe,"movie critique, no hate"
C039722,Correct,,vulgar mocking insult toward editor
C039723,Wrong,Safe,fan praise/prediction
C039729,Unsure,,ambiguous meaning
C039731,Wrong,Safe,fan praise/prediction
C039734,Wrong,Offensive,"generic insult about content quality, not group hate"
C039741,Correct,,mocking personal insult toward director
C039743,Wrong,Safe,political praise
C039744,Wrong,Safe,praise/entertainment comment
C039755,Correct,,mocking warning toward critics of Rajini
C039757,Correct,,insult toward dislikers
C039758,Wrong,Safe,"fan hype slang, idiomatic not literal insult"
C039761,Unsure,,unclear casual banter
C039762,Wrong,Offensive,"accusatory personal remark, not group hate"
C039766,Unsure,,garbled/unclear text
C039769,Wrong,Hate Speech,caste-community rhetoric attacking activist group
C039775,Wrong,Sexual Harassment,sexualized mocking remark about a woman
C039779,Wrong,Safe,neutral mythological discussion
C039785,Wrong,Safe,"political sarcasm, no hate"
C039789,Wrong,Safe,fan stats comparison
C039791,Correct,,personal sexualized mocking insult
C039793,Unsure,,unclear movie banter
C039799,Correct,,mocking personal insult about a name
C039801,Wrong,Sexual Harassment,sexual insinuation about a specific girl
C039802,Correct,,mocking personal insult about actor's body
C039805,Wrong,Safe,"mythological/movie reference, no hate"
C039807,Wrong,Sexual Harassment,explicit vulgar sexual insult toward a woman
C039808,Wrong,Offensive,"mocking remark, unclear target, not group hate"
C039815,Wrong,Safe,"meta-commentary referencing a video, no hate"
C039818,Unsure,,unclear wordplay fan phrase
C039824,Wrong,Safe,neutral opinion
C039829,Correct,,mocking comparison about appearance
C039830,Wrong,Safe,"fan question, no hate"
C039834,Wrong,Safe,praise comment
C039835,Wrong,Safe,"fan hype, no hate"
C039837,Wrong,Safe,"casting critique, no hate"
C039838,Wrong,Safe,political praise
C039843,Wrong,Safe,"fan rivalry comment, mild"
C039844,Wrong,Safe,tribute/praise comment
C039848,Wrong,Safe,praise comment
C039850,Wrong,Safe,fan excitement comment
C039854,Wrong,Safe,"fan request, no hate"
C039857,Unsure,,unclear political complaint
C039865,Wrong,Safe,anti-harassment political commentary
C039866,Wrong,Safe,fan request
C039870,Wrong,Offensive,"mocking dare, personal insult"
C039871,Unsure,,vague/unclear statement
C039872,Wrong,Safe,"mild critique, no hate"
C039873,Wrong,Safe,political commentary/sarcasm
C039879,Wrong,Safe,"concerned commentary about content, no hate"
C039884,Wrong,Offensive,"personal taunt, not group hate"
C039888,Correct,,mocking personal insult about appearance
C039889,Wrong,Safe,skeptical political comment
C039892,Wrong,Safe,"mild rebuke, no hate"
C039893,Wrong,Safe,fan complaint
C039894,Wrong,Offensive,"political mockery using derogatory nickname, not group hate"
C039895,Wrong,Safe,fan admiration comment
C039896,Correct,,mocking insult toward director
C039898,Wrong,Safe,"political/nationalist praise, not identity hate"
C039901,Wrong,Safe,"playful teasing, no real insult"
C039908,Wrong,Safe,unclear neutral statement
C039909,Wrong,Safe,"fan critique, no hate"
C039914,Wrong,Safe,fan stats comparison
C039915,Wrong,Safe,playful banter
C039929,Wrong,Safe,hyperbolic fan hype
C039946,Wrong,Safe,"anti-caste unity statement, not hate"
C039952,Wrong,Safe,fan comment
C039961,Wrong,Offensive,mocking personal insult
C039967,Unsure,,unclear/vague statement
C039971,Unsure,,garbled/unclear text
C039972,Wrong,Safe,"patriotic slogan, no hate"
C039978,Wrong,Safe,"commentary condemning caste double standards, not hate itself"
C039979,Wrong,Safe,"comment against victim-blaming/hatred, not hate itself"
C039981,Wrong,Safe,mixed praise/mild critique
C039982,Correct,,vulgar personal insult
C039987,Unsure,,garbled/unclear text
C039990,Correct,,vulgar personal insult
C039991,Wrong,Safe,praise comment
C039993,Wrong,Safe,"fan hype slang, idiomatic"
C039995,Wrong,Safe,"fan hype slang, idiomatic"
C039997,Wrong,Safe,mild apologetic comment
C040005,Unsure,,garbled/unclear text
C040006,Wrong,Safe,"wordplay complaint, no hate"
C040008,Wrong,Safe,movie preference comment
C040011,Wrong,Offensive,"crude hyperbole, not group hate"
C040012,Wrong,Safe,"warning against caste-based propaganda, not hate itself"
C040018,Wrong,Safe,"political commentary, no hate"
C040031,Wrong,Safe,fan rivalry teasing
C040033,Unsure,,unclear meaning
C040044,Wrong,Safe,"unclear critique, no hate"
C040045,Wrong,Safe,fan slogan hype
C040049,Wrong,Safe,"mocking rhetorical question, mild"
C040054,Wrong,Offensive,"insult toward politicians as group, not identity hate"
C040057,Wrong,Safe,neutral opinion
C040058,Wrong,Safe,fan anticipation comment
C040061,Wrong,Safe,critical but well-wishing comment
C040069,Wrong,Safe,praise comment
C040071,Correct,,mocking comparison about appearance
C040072,Wrong,Offensive,"dismissive insult toward group, not identity hate"
C040074,Unsure,,confusing/ambiguous statement
C040080,Wrong,Safe,praise comment
C040083,Wrong,Safe,nostalgic comment
C040084,Wrong,Safe,"fan rivalry comment, mild"
C040086,Wrong,Safe,"political criticism, no hate"
C040089,Wrong,Safe,promotional suggestion
C040091,Wrong,Safe,mild rebuke to dislikers
C040093,Wrong,Offensive,"generic vulgar insult, not identity hate"
C040094,Wrong,Safe,nostalgic comparison comment
C040098,Wrong,Safe,comment defending against victim-blaming
C040101,Unsure,,complex/ambiguous social commentary
C040102,Wrong,Safe,patriotic slogan
C040104,Unsure,,unclear meaning
C040113,Wrong,Safe,neutral stat joke
C040121,Unsure,,garbled/unclear text
C040122,Wrong,Safe,"political comment, no hate"
C040126,Wrong,Safe,"political/social commentary, no hate"
C040135,Wrong,Offensive,"mild dismissive insult, not identity hate"
C040139,Wrong,Sexual Harassment,sexualized remark about actress
C040146,Correct,,"vulgar insult toward group, correctly offensive"
C040157,Wrong,Safe,"economic/political opinion, no hate"
C040165,Wrong,Offensive,"insult toward voters, not identity hate"
C040169,Unsure,,unclear casting comment
C040170,Wrong,Safe,neutral trending comment
C040172,Correct,,mocking insult about political figure's appearance
C040173,Wrong,Offensive,"personal hostility toward critics, not identity hate"
C040177,Wrong,Safe,vague philosophical statement
C040179,Wrong,Safe,"political statement, no hate"
C040180,Wrong,Safe,praise for actor's career
C040182,Wrong,Safe,movie comparison comment
C040187,Wrong,Safe,fan hype comment
C040189,Wrong,Offensive,"vulgar insult used idiomatically, not identity hate"
C040194,Unsure,,unclear meaning
C040195,Wrong,Safe,praise for actor
C040202,Wrong,Safe,"political support statement, no hate"
C040206,Wrong,Safe,"suggestion comparing to another actor, no hate"
C040212,Wrong,Safe,tribute/praise comment
C040217,Wrong,Offensive,"mocking insult toward named directors, not group hate"
C040224,Wrong,Safe,neutral stat confusion comment
C040233,Correct,,generic insult toward tiktok users
C040234,Correct,,mocking accusation of plagiarism toward director
C040239,Wrong,Safe,"political corruption complaint, no hate"
C040247,Wrong,Safe,mild teasing about dislikes
C040256,Wrong,Safe,"political sarcasm, no hate"
C040260,Wrong,Safe,neutral bgm comparison
C040274,Wrong,Safe,"road safety PSA, no hate"
C040277,Wrong,Offensive,"personal political insult, not group hate"
C040279,Wrong,Offensive,"vulgar insult about content quality, not group hate"
C040280,Wrong,Safe,praise comment
C040282,Wrong,Safe,"vague rhetorical statement, no hate"
C040284,Correct,,"vulgar exclamation, matches offensive tone"
C040288,Wrong,Offensive,"personal political insult telling him to leave, not group hate"
C040289,Wrong,Safe,neutral question about dislikes
C040290,Correct,,vulgar fan rivalry insult
C040293,Unsure,,unclear/garbled text
C040294,Unsure,,garbled political/religious statement
C040295,Wrong,Safe,"social welfare opinion, no hate"
C040297,Wrong,Safe,praise for creativity
C040298,Wrong,Safe,neutral question about movie genre
C040300,Wrong,Safe,mild sarcasm about political dialogue
C040301,Wrong,Safe,motivational habit-building comment
C040304,Wrong,Safe,"philosophical statement, no hate"
C040309,Wrong,Safe,neutral factual/critical commentary
C040317,Wrong,Offensive,"personal insult about individual, not group hate"
C040319,Wrong,Safe,"fan comment, no hate"
C040320,Wrong,Offensive,"political mockery of individual, not group hate"
C040321,Unsure,,unclear mocking reference
C040322,Wrong,Safe,praise comment
C040334,Wrong,Safe,fan question about likes
C040338,Wrong,Safe,fan hype for actor
C040339,Wrong,Safe,nostalgic comment
C040343,Wrong,Safe,"political opinion, no hate"
C040345,Wrong,Safe,neutral stat discrepancy question
C040346,Wrong,Safe,neutral movie comment
C040358,Wrong,Threat,explicit threat of violence toward haters
C040370,Wrong,Safe,fan collaboration request
C040375,Wrong,Safe,fan question about trailer
C040379,Wrong,Offensive,"vulgar cursing insult, not group hate"
C040383,Wrong,Safe,"fan rivalry comment, mild"
C040384,Wrong,Safe,praise comment
C040385,Wrong,Safe,neutral stat comment
C040387,Wrong,Offensive,"mocking insult about dubbing, not group hate"
C040393,Wrong,Offensive,"mocking insult toward movie/song, not group hate"
C040396,Unsure,,unclear meaning
C040399,Wrong,Safe,fan anticipation comment
C040401,Wrong,Offensive,"vulgar sports commentary, not group hate"
C040402,Correct,,vulgar insult toward dislikers
C040403,Wrong,Safe,fan anticipation comment
C040409,Unsure,,garbled/unclear text
C040423,Wrong,Safe,"critique of film genre, no hate"
C040424,Wrong,Offensive,"personal political insult, not group hate"
C040425,Correct,,mocking insult about actor's range
C040426,Wrong,Safe,neutral comparison comment
C040427,Wrong,Offensive,"vulgar personal insult, not group hate"
C040428,Wrong,Offensive,"personal critical remark, not group hate"
C040443,Wrong,Safe,neutral movie comparison
C040445,Wrong,Safe,neutral stat confusion comment
C040449,Unsure,,garbled political/economic statement
C040451,Wrong,Offensive,"vulgar personal insult toward director, not group hate"
C040461,Wrong,Safe,agreement/praise comment
C040464,Correct,,personal insult defending fandom
C040469,Correct,,"vulgar exclamation, ambiguous caste targeting"
C040471,Wrong,Safe,fan rivalry comment
C040472,Wrong,Safe,"comment condemning victim-blaming narrative, not hate itself"
C040483,Wrong,Offensive,"fan rivalry mocking, not identity hate"
C040484,Wrong,Safe,"political slogan, no hate"
C040486,Wrong,Sexual Harassment,sexualized mocking remark about named actress
C040490,Wrong,Safe,"commentary about movie success, no hate"
C040501,Wrong,Safe,neutral comment about piracy
C040506,Correct,,extremely vulgar personal/movie insult
C040507,Wrong,Safe,mild critique about trolling
C040509,Correct,,mocking insult about actor's appearance
C040510,Correct,,fan rivalry insult
C040511,Unsure,,unclear political/fan statement
C040513,Wrong,Safe,"commentary condemning caste-based blame, not hate itself"
C040523,Wrong,Safe,"fan blame comment, no hate"
C040525,Wrong,Safe,personal financial advice question
C040536,Correct,,mocking insult predicting failure
C040538,Wrong,Safe,fan opinion comparison
C040542,Wrong,Offensive,"mocking insult toward named individuals, not caste-class generalization"
C040545,Unsure,,unclear taunt
C040549,Correct,,vulgar personal insult
C040551,Wrong,Safe,neutral movie reference discussion
C040555,Wrong,Hate Speech,vulgar insult targeting Dalit-rights figure amid caste hostility
C040558,Wrong,Offensive,"vague warning/taunt, not explicit threat or group hate"
C040563,Wrong,Safe,neutral movie comment
C040565,Wrong,Safe,praise comment
C040566,Unsure,,unclear meme reference
