comment_id,language,category,comment,english_translation
C000099,Tanglish,Offensive,intha naai Ku vera vela Ila thooooo oodi po naaya,
C000101,Tanglish,Offensive,Thalaya alikanumnu silaroda mandhiram vazlu vazla Vidu Avaroda mandhiram,
C000103,Tanglish,Hate Speech,Dii pounda Padam itha sunni Padam enga area la oda vadm mattam,
C000111,Kanglish,Offensive,Nija 100% but aswastama antta heg kandiditare..,
C000113,Tanglish,Offensive,Hmkum..... story seems to be ok....padam epdi irukkumo,
C000123,Tanglish,Offensive,Yarrrrrrrra emmmmmmathuringa ithu 96 semmmmmaaaaaa LA,
C000126,Roman Telugu,Hate Speech,aandhraku pawan saar kannadaki puneet saar,
C000135,Roman Telugu,Hate Speech,Chala worst ga undi,
C000136,Tanglish,Offensive,Yogi babu hair style nalla illa,
C000138,Tanglish,Offensive,Super star rajinkanth mass Ne Oru loose,
C000143,Kanglish,Offensive,Nija heludre heege,
C000144,Kanglish,Offensive,S sikkilla bro,
C000148,Roman Telugu,Hate Speech,asla kl rahul peddha bogh na koduku adatham radhu em radhu,
C000151,Tanglish,Offensive,Sudu kattukkulla poravan pogum pothey ponama thaan povan......,
C000154,Tanglish,Hate Speech,Jayalalitha ku padam edukranu solitu sasikala ku eduthu vechruka,
C000160,Roman Telugu,Hate Speech,sunil anna vunte sandade vaeru movie anta chaalaa funn gaa vuntundi,
C000163,Tamil,Hate Speech,ரஜினியிடம் மன்னிப்பு கேட்கும் நிலை கண்டிப்பாக வரும்,
C000166,Kanglish,Offensive,Yavalo bindu Gowda avulu Thu.......... Nan Ke................,
C000167,Roman Telugu,Hate Speech,meeru devudu saar,
C000172,Tamil,Offensive,இனி ஒவ்வொரு பெண்ணும் வீரமங்கை வேலுநாச்சியாராக இருக்க வேண்டும்... கணவனை காதலியுங்கள் கண்ட கண்ட பன்றிகளை பார்த்தவுடன் ஒதுங்கி விடுங்கள்.,
C000180,Tanglish,Hate Speech,Durapathi nu sollathinga nary vithaanu vai nallarukum va athaum papom unga jathi thimera kattu Enga attatha ne pape potta pasanga,
C000181,Roman Telugu,Hate Speech,okka chiruta puli kosam entha mandi chudandi,
C000182,Kannada,Hate Speech,So called ದೊಡ್ಡ ದೊಡ್ಡ ಸ್ಟಾರ್ ನಟರು ಇಂತಹ ಚಿತ್ರಗಳ ಬಗ್ಗೆನೂ ಸ್ವಲ್ಪ ಗಮನ ಕೊಟ್ರೆ ಕನ್ನಡ ಚಿತ್ರೋದ್ಯಮ ಒಳ್ಳೆಯ ಎತ್ತರಕ್ಕೆ ಬೆಳೆಯುತ್ತೆ,
C000186,Roman Telugu,Hate Speech,harsha anna nee kalavali okkasaraina,
C000191,Roman Telugu,Hate Speech,mea maatalu agnijwaalalu dhanyavaadamulu,
C000195,Tanglish,Offensive,Idhu padam da ommla enna padam da i saw 2 shows back to back vera level,
C000199,Tanglish,Hate Speech,Medhi kaasu iruntha kudunga naa... Ithuve medhi kaasu dhaan da🤣🤣🤣🤣 lolzzz,
C000200,Roman Telugu,Hate Speech,ragu mallanna nae lokam annatlu chestunnav zara vaerae cheppu,
C000202,Tanglish,Offensive,1 m like Kuda illa Ivana poi Thalapathy Ku compete panriengala,
C000203,Tanglish,Offensive,g v neenga nadikirathuku pathila music potrukalam meratitaru,
C000204,Tamil,Offensive,குருமா வளவன் பின்னாடி இப்ப கபகபனு எரியுமே,
C000210,Tamil,Hate Speech,தர்மபுரி kalavara boomi vanniyar kula sathriyan,
C000212,Tanglish,Hate Speech,saavunga da vijay haters eppavum mass thalapathy matum than,
C000214,Tanglish,Hate Speech,"Oru hero Oru heroin naley neraiya peruku kathai puriyaathu, ithula 5 6 per suthamm !!!",
C000215,Tanglish,Offensive,Very avg.... CM Kangana looks like a Japanese robot,
C000216,Tamil,Hate Speech,ஏன்டா ஜெயலலிதான்னு சொல்லி சசிகலாவ காட்டுறீங்க.. ஒருவேல சின்னம்மா கட்சியா இரூப்பானோ,
C000217,Roman Telugu,Hate Speech,aavida kashtaalaki like kaadu aame manobalaanni kii like,
C000224,Tanglish,Offensive,Ungala Mathiri Saathi veri directors...... vetrimaran..ranjith...mari selvarasu...mohan g ...neenga than intha nattin sapaketu .....ungala nenaicha padam pakratha maranthitunum pola pongata neengalum unga saathiyum,
C000238,Roman Telugu,Hate Speech,baagaa kashtapaddav brow edit kii good keep it up,
C000241,Tanglish,Hate Speech,Ena da ipudi padam yeduthu vachurukinga.............. Sekiram release panni tholainga romba wait panna porumai ilaaaaa,
C000244,Tanglish,Offensive,Evanuggada antha 9.4 k dislikes uh?!!!,
C000247,Tanglish,Offensive,Dei ennada views ah pause panni vachu irukkeenga,
C000254,Tanglish,Hate Speech,1:34 nan kooda advertisement nu ninachean,
C000255,Kanglish,Offensive,Mallad luccha fans nimma luccha suderpdu movie nodo Ella flop agtive side actor get fit baavali age eddane balegaara correctagi tindu barlike hell baavali🤣🤣,
C000257,Tanglish,Offensive,Don't breath Remake nu sonavanuga ellam line la va .. !!,
C000269,Tanglish,Offensive,Dislike panavangaluku last la varum dialogue Dan correct,
C000272,Tanglish,Offensive,Vijay fans eppovum pola avanga velaya kaaturanga.. Thu porama pudichavanga,
C000298,Tanglish,Hate Speech,Sarkar Vida milion Times semma,
C000301,Kanglish,Hate Speech,Marketing sariyaagi maadrappa istondu olle movie ge ingadre henge very imp marketing,
C000305,Tanglish,Offensive,50 k views 93 k likes Aaa yenada utube vachrukinga,
C000309,Roman Telugu,Hate Speech,Nuv pani cheira babu mundu eppudu vere malla meda padi edustav,
C000310,Tanglish,Offensive,pataya kelapitaru enga thalapathy ajith fans savungada...sethuolingada....,
C000313,Tanglish,Offensive,oodumbule THALA thanda main .....mutta passungala..,
C000318,Tamil,Offensive,🤔இப்போ மட்டும் இளையராஜா Sir-கு இது Beethoven's Symphony-னு தெரிலயா ? 🤔சொந்தமா போடலாம்ல ! உங்களுக்கு வந்தா மட்டும் இரத்தம்! மத்தவனுக்கு வந்தா தக்காளி சட்னி யா ? நல்லாருக்குப்பா உங்க நியாயம்,
C000326,Tamil,Hate Speech,திமுக தலைவர் கருணாநிதி அவர்ருக்கு மட்டும்இரவு 12மணிக்கு நீ மன்றம் இயங்கும் போது திரெளபதி படத்துக்குஏன் நீ மன்றம்தூங்குகிறது எந்த ஒரு பதிலும் சொல்லவில்லை பணம் இருந்தால் பதவி இருந்தால் மட்டுமே நீ மன்றம் இயங்குமா,
C000330,Tamil,Hate Speech,"எந்த ஜாதிக்காரன் இப்படி பண்ணுறானோ ( அதையும் மேடையிலேயே சொல்லுறானோ ) அவனைத்தானே காரி துப்புறாங்க,, இதுக்கு எதுக்கு பொங்குறீங்க?",
C000331,Tanglish,Offensive,Thirubi vannenu sollada rejinidaaaaaaa,
C000332,Roman Telugu,Hate Speech,Na bochulo tv news hmtv fake vedio,
C000334,Tamil,Offensive,படம் வெற்றி பெற வாழ்த்துகள் மோகன் ஜி bro நாடக காதலுக்கு சொம்பு தூக்கும் திருமா ரஞ்ஜித் இவனுகளுக்கு தகுந்த செருப்படி,
C000340,Tanglish,Offensive,so you against rajni ..... great jayam ravi,
C000341,Tamil,Offensive,இந்தப் piano bgm ஏதோ விளம்பரத்தில் கேட்ட மாதிரி இருக்கு... அது எந்த Add....? எதாவது purpose சோட தான் அந்த Bgm பயன்படுத்தி உள்ளனரா?,
C000357,Kannada,Hate Speech,ನಮ್ಮ ದೇಶದ ನಂತರ ಅವರಿಗೆ ಸ್ವತಂತ್ರ ಸಿಕ್ಕಿರುವುದು ಅವರೇಕೆ ಅಷ್ಟು ಮುಂದುವರೆದರು nnನಮ್ಮ ದೇಶ ಕಾಂಗ್ರೆಸ್ ಹಂದಿಗಳು ಯಾಕೆ ಉದ್ಧಾರ ಮಾಡಲಿಲ್ಲ,
C000358,Kannada,Hate Speech,ಕಮೂನಿಷ್ಟ ಸರ್ಕಾರವೇ ಒಳ್ಳೆಯದು ಅಲ್ಲಿ ರಾಜಕೀಯ ಇರಲ್ಲ ದೇಶದ ಅಭಿವೃದ್ಧಿ ಒಂದೇ ಗುರಿnನಮ್ಮ ದೇಶದ ಈ ಸ್ಥಿತಿಗೆ ಕಾರಣnn* ರಾಜಕಾರಣಿಯರು(ನೆಹರೂ ವಂಶಸ್ಥರು),
C000367,Tanglish,Offensive,ARE U A VIRGIN?,
C000369,Tanglish,Offensive,Hero ah fraud ah crct ah solunga,
C000378,Roman Telugu,Hate Speech,"TV9: moddalo ethics, nijathyi ni memu pattinchamu",
C000381,Roman Telugu,Hate Speech,Adhi nuv ekkuvachaiku ra kojja,
C000382,Tanglish,Offensive,"Ena bigiloda release panni floap ayurumunu bayama irukaa,floap aanalum nenja nimirndhu dhaiyriyama edhirthu floap aaganum",
C000386,Tamil,Hate Speech,அடப்பாவமே....எல்லா நடிகர்களும் போராட்டம் போராட்டம் என திரையில் வசனம் பேசத் துவங்கிவிட்டனர்... ஆனால் இந்த ஹீரோக்கள் சூப்பர்மேன்போல சமூக பிரச்சினைகளை திரையில் சமாளிப்பர். இதை பார்த்து இளைஞர்கள் அவர்களும் ஒரு சூப்பர் ஹீரோக்களாகவே உணர்வர். அதனால் சிறு சிறு சமூக உதவிகள் செய்வதில் பலனில்லை என அவர்கள் மனதில் பதியவைக்கிறது திரைப்படங்கள். உண்மையான போராட்டம் திரையில் இல்லை அது தரையில் உணர்வோடு உருவாக வேண்டும். இளைஞர்கள் அந்த உணர்வை திரையில்மட்டும் பார்த்து தெரிந்து கொள்ளக்கூடாது.,
C000389,Roman Telugu,Hate Speech,Miru eppudu chanipotharu swamy,
C000400,Tanglish,Offensive,Ithuvum caste sammantha pattatha..yennaga neengaluma... caste ah olikuren olikurenu sollitu ippdi valathutha viduringa deivame..,
C000409,Roman Telugu,Hate Speech,"RK eagerly waiting to demoralise Jagan, that is his intention",
C000411,Tanglish,Hate Speech,vig viju te next flop..... kanditu Bengali anennu thonunnu,
C000412,Tamil,Hate Speech,மக்கள் தலைவர் ரஜினிகாந்த் சர்ச்சை காட்சிகள் நீக்கம் கோமாளி படம் குழு விதியோடு கூட விளையாடு தலைவர் யோட விளையாட தலைவர்,
C000413,Kannada,Offensive,vinu nice comedy man.... ನಾನ್ ಕೇಳೋ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರ ಹೇಳೋಕೆ ಆಗ್ದಲೆ ಇರೋ ನನ್ನ ಬಂದು ಏನೋ ಮಾಡ್ತಿಯ ಪಾಪ.. ನಿನ್ ನೋಡಿದ್ರೆ ಅಯ್ಯೋ ಅನ್ಸುತ್ತೆ...,
C000414,Tamil,Offensive,டேய் உதயநிதி ...இப்பதாண்டா உனக்கு ஏத்த title கிடைச்சிருக்கு ......,
C000417,Roman Telugu,Hate Speech,mea lanty vaaru state‌ kuu dgp gaa vu0tea state‌ baguntundi saar‌ ayina meeku mimmalni kannatalli tandri gaarikee naa satakoti padabi vandanaalu,
C000419,Tanglish,Hate Speech,"Eanna da Modi padam madri irruku But all the best for Surya,KV Anand&Team",
C000420,Roman Telugu,Hate Speech,orey buffoon gaa college fees lu takkuvva chesthe nee mukhaniki adhi chaluu,
C000425,Tamil,Hate Speech,வெள்ளாளர்/வேளாளர் முன்னேற்றக்கழகத்தின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்களை தெரிவித்துக்கொள்கிறோம்... குருமா பசங்களின் நாடக காதலை ஒழிக்க எடுத்த படம்.... நெல்லை மாவட்டம் பந்தல்S.ராஜா தம்பிகள்........,
C000429,Tanglish,Offensive,Enna thandaa solla vaaringka.. Onnume puriyaale,
C000433,Tanglish,Offensive,Full of damal dumil onnum purila.anyway looks good making.,
C000435,Roman Telugu,Hate Speech,Rosayya garu is a real Good and true politician History lo oka great leader Rosayya garu No words to praise you sir Rip Rosayya garu,
C000438,Roman Telugu,Hate Speech,shiva gaari smile kii fidami anchoring super sirnenu maccha cheppe answers kante maeru ichhe smile nae chuustuu undipoyanyuyar voice your style of anchoring avesam,
C000441,Roman Telugu,Hate Speech,vachanu anuko gudda paligipodhi,
C000442,Tanglish,Hate Speech,Yogi babu anna avaru hair style la gethu chaaa Hari cut pannitu nallaaveyla ....,
C000449,Tanglish,Offensive,Beethoven ku kan theriyaadhu (Blind) Maybe athunaala copy adichirukkalaam,
C000454,Tanglish,Offensive,Oru pakkam bigil. Bigil anil kunjugalin alaparaikal,
C000455,Kanglish,Offensive,Sulemakale tic tok uninstall madi,
C000457,Tanglish,Hate Speech,jaathiya vechu padam edukaravara avanga amma va othathuku samam support pandravara ava thevidiavuku poranthava,
C000466,Roman Telugu,Hate Speech,Nuvu Chiku raa kcr family dhi,
C000472,Roman Telugu,Hate Speech,maa rashtraniki memu adiginappudu meeru wee0tough wee0tunney appulu ivvadam matra0 marachipoka0die,
C000479,Tanglish,Offensive,Dei goyyala thalapathi ah patha unakku sirippu varutha...,
C000484,Tanglish,Offensive,U1 rock but 1.05 irumbuthirai bgm maathurie iruku,
C000497,Tanglish,Offensive,Pongaluku aattamum irukku allaparaium irukku Yar yarku purunchu avunga mattum like pannunga,
C000500,Roman Telugu,Hate Speech,ee padayatra aipoyina tarvaata aa 80 conternorlu asalu undadaaniki illu laenivaariki ivvandi,
C000502,Kanglish,Offensive,Guru nin heliddu super nija.adre e Bindu lowda avn ammun tukali sule maklige uriyutte ade indiyadalli gst jasti madidre strick madthare ade tik tok madi chinage amount hodre kushi agthare ivrella bharatiyaralla chinise tunnege uttdoru,
C000504,Roman Telugu,Hate Speech,Em kanapadathunnayi bokka,
C000505,Kannada,Offensive,ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ,
C000506,Roman Telugu,Hate Speech,Katam hogaya narayana pedda bokada college,
C000510,Tamil,Hate Speech,"நான் வன்னியனுமில்லை, தேவருமில்லை,, ஆனால் இந்த நாடகக்காதலுக்கு முழுவதும் முற்றுப்புள்ளி வைக்க விரும்பும் சராசரியானவன்.. திராவிட பாஷையில் சொல்ல வேண்டுமெனில் பாப்பான்... ஆனால் தற்போது உள்ள காலகட்டத்தில் இந்த நாடக காதலுக்காக கொடி பிடிக்கும் அத்தனை நாதேரிங்களுக்கும் இத்திரைப்படம் ஒரு சவுக்கடி மட்டுமல்ல, தரமாண செருப்படி.. இத்திரைப்படத்தை தைரியமாக எடுத்துள்ள இயக்குநருக்கு வாழ்த்துக்கள்",
C000512,Roman Telugu,Hate Speech,Meeku ichindhi mamulu post kadhu....svbc chairman ante manchi post...meeru daani missuse chesukunnaru...jagan gurinchi pk gari gurinchi kadhu.....meeru avakaasamu miss use chesukunnaru....,
C000527,Telugu,Hate Speech,అన్నా నువు ముడ్డి కడుక్కోకు,
C000528,Tanglish,Offensive,Dislike adicha maannynmark naduviral namaskaram,
C000530,Tanglish,Offensive,Title heavy aah vechikure padam mokkaya thaan erukkum,
C000533,Tanglish,Offensive,Farmers oda varumaya kaati Ella movie layum kalla kattunga da. Thuu....,
C000537,Kanglish,Offensive,Avalige chapalige odiri,
C000542,Tanglish,Offensive,500k target locked make it,
C000544,Roman Telugu,Hate Speech,bokkalo maddagudu,
C000548,Tanglish,Offensive,ivara pathta death vadi madiri irukku,
C000551,Tanglish,Offensive,Gommala flopu daa...poi elarum asooth poola oombunga,
C000555,Telugu,Hate Speech,పక్కవాడు గొప్పవాడు ఐతే ఇలాంటి ఎడ్చుకునేవాల్లు ఎల్లప్పుడూ ఎడ్చుకునే వుంటారు.,
C000557,Roman Telugu,Hate Speech,Nag sir la natural ga evaru matlada lerunag sir super,
C000559,Telugu,Hate Speech,నువ్వు మాట్లాడేది తప్పు అన్న గురించి ఎంతైనా చెప్పుకో వచ్చు కానీ మోహన్ బాబు గారిని తమ్ముడు అని మాట్లాడడం ఏమాత్రం కరెక్ట్ కాదు వాళ్ళ కొడుకులు కూడా సీరియస్ అయితే ఎంత పరిస్తితి ఏంటీ,
C000560,Kanglish,Offensive,pakka prufff kodi,
C000561,Tanglish,Hate Speech,Trailer semma...mokka...ithellen oru padam....comedy ya iruku....,
C000562,Tanglish,Offensive,sila peru avanga polappukaga thalathalapathy fandom vachi drama pandranga...,
C000565,Tanglish,Hate Speech,4K DISLIKES I KNOW YOU ARE OTHER ACTORS FAN WHO ARE UNABLE TO MAKE THIS KIND OF MOVIES AND GETTING JEALOUS,
C000568,Tanglish,Hate Speech,Enna look da ithu ADI kevalama iruku,
C000592,Tanglish,Offensive,ellam avan seyal movie mariye iruku,
C000595,Tanglish,Offensive,sivakumar ah villana potruklam just miss,
C000596,Tanglish,Offensive,Bigil a vida kaithi semaya irukku endravainga like ..,
C000599,Roman Telugu,Hate Speech,media mundu enduku pettatleduasalu nijamgaane arrest chesara,
C000600,Roman Telugu,Hate Speech,Ha bokkaley ...... Chivaridaka vuntey appudu cheppu,
C000614,Tamil,Hate Speech,"இந்த படம் வந்த பிறகு கருப்பு சட்டை காரனும், நீல சட்டை காரனும் முகத்தை எங்க வைப்பாங்கன்னு தெரியல ..! அதுக்கப்புறம் மக்கள் முன்னாடி மேடைல எப்படி பேசுவங்கன்னு தெரியல ...!! உப்பு தின்னவன் தண்ணீர் குடிச்சு தான் ஆகனும்..!!!",
C000616,Tamil,Offensive,ஜெயலலிதா வை இப்படி எல்லாம் அவமான படுத்தி இருக்க வேண்டாம்..,
C000617,Tamil,Offensive,மொதலாம் ரஜினி ரெப்பரன்ஸ் மாஸ்க்கு வெப்பாங்க இப்பலாம் காமடிக்கு வெக்கிறாங்க..,
C000623,Telugu,Hate Speech,ఈ వీడియో చూసి మనిషివా మోహన్ బాబు వా?,
C000625,Roman Telugu,Hate Speech,Yeediki prathi kshnam third degree pettali yee sollu poyenthavaraku,
C000635,Telugu,Hate Speech,Same to same డిస్కో శాంతిలెక్కున్నావ్keep it up,
C000643,Roman Telugu,Hate Speech,aatla vastaayi anna niku enni televi thetalu oka cinema thee anna,
C000649,Tanglish,Offensive,Yennada idhu Arya va pakathulaye vechutu Sayesha va Suriya ku heroin uh potrukinga,
C000650,Roman Telugu,Hate Speech,ilanti sinimaalanu aadarinchina prekshakulaku dhanyavaadaalu cheppali manchi movie nee icchina kalyan raam vashishta chitram brundaaniki dhanyavaadaalu industry kii manchi hit movie,
C000651,Telugu,Hate Speech,ఈ తొక్కలో సెక్యులరిజం వల్లే బియ్యం డబ్బాల్లో దాక్కుని చస్తారు తర్వాత,
C000652,Tanglish,Offensive,Final ah thalaivara vachu senjitingaleh dah,
C000657,Tanglish,Offensive,I like Vikram sir.l want to see him in a joker like character,
C000658,Kanglish,Hate Speech,1.3k unlikes madiruvavru rashmika fans irbahoda 🤔 super song shetre slow poison song,
C000660,Tanglish,Hate Speech,idhy 96 yaaru yemathiringa senjitandaaaa ... vachi senjitandaaa ....,
C000665,Tanglish,Offensive,Judge : avara kongam control pannunga Fans : mudiyadhu idhukku Mela control panna mudiyadhu,
C000674,Tanglish,Hate Speech,Ela loveaium...thappu nu intha movie sollala....Love panna solli thoondi vitu ..athula labam pakkuravangala..pathi mattum than sollranga...ithula enna thappu,
C000679,Tamil,Hate Speech,இது இப்பொ fashion ஆயிடு சாதி ஓழிங்கனு சொல்லிட்டு அதையே படமா பன்னிட்டு இருக்காங்க சரி முள்ளை முள்ளால் எடுக்கனும் அப்படி தான் நா இல்லனு சொல்லல அதுக்கு என் மற்ற சாதிய அசிங்க படுத்துரிங்க எங்க பாத்தாலும் தாழ்த்த பட்டவங்க சாதி வைச்சி sentiment ah எடுக்கிறிங்க என் மத்த சாதில இத மாரி நடக்களையா மாறட்டும் சமுகம் மாறட்டும் சாதி மதம்,
C000681,Roman Telugu,Hate Speech,KTR matladedi kanisam ardam chesukune brain leni vallu kuda ktr anadame. Next election ki same place nunchi Poti chesi deposit techukunte chalu.,
C000683,Tanglish,Offensive,Climax la judge kathiyeh heart attack shethuduvaaraah,
C000690,Tanglish,Offensive,Trailer la nala iruku.. Ana sivaku match agala,
C000696,Telugu,Hate Speech,Fake లు ఎందుకు చూడటం..Original చూపిస్తాను అంటునాడు పోయి దర్శనం చేసుకొని పాప విముక్తి పొందండి,
C000697,Tanglish,Offensive,Hindi padam trailer patha maari iruku,
C000699,Roman Telugu,Hate Speech,meku kuudaa manchi bavisat untadi,
C000701,Tanglish,Hate Speech,Ivanaga edutha purachi director.... Nnu name..... Mathavanga edutha.... Vera name a create pannikiranga.....,
C000705,Tanglish,Offensive,Ellam avan saeyal ah remake pannitegala da... Athuvaey remake thanah,
C000706,Telugu,Hate Speech,ఏ సినిమా లో పాట చాలా బాగుంది,
C000707,Tanglish,Offensive,Appa starting la yevlo periya molai kanagana rawat ku,
C000708,Telugu,Hate Speech,బంగ్లాదేశ్ ప్రజల కు వున్న జ్ఞానం పాలకులకు లేదు బంగ్లాదేశ్ పాకిస్థాన్ లను నమ్మి మోసపోరాదు చేసిన తెలివితక్కువ పనికి ఫలితం అనుభవిస్తున్నారు,
C000713,Tanglish,Offensive,Last dialogue sollum pothu ethana peruku julie niyapagam vanthathu?,
C000716,Tanglish,Offensive,Thala sikitam vaanka W8 pannide irukam,
C000720,Roman Telugu,Hate Speech,Flop vachina directors ki hit yevvadam NTR Anna ki sontham,
C000721,Kannada,Offensive,Parthasarathi ಹಲ್ಕಟ್ ಬೋಸುಡಿ,
C000732,Tanglish,Offensive,"best wishes to the team! 'saavaratha iruntha sanda pottu saavanum sir, kaalila vizhundhu saava koodathu'",
C000737,Roman Telugu,Hate Speech,Easy vochina success ni scam antarau Emi chepparu bhayya Love it,
C000738,Tamil,Hate Speech,அருமையான திரைப்படம் இதைத்தான் எதிர்பாத்தேன் வாழ்த்துக்கள் வெற்றியை கொண்டாடுவோம் அனைவரும் அடுச்சா திருப்பிஅடிபாண்ட சத்ரியன் அவன் எவனா இருந்தாலும்...,
C000739,Tanglish,Offensive,Thala dhan da gethu bollywood la amithabachan oda character ah overtake pani therika vitrakaru,
C000740,Roman Telugu,Hate Speech,ee cinema manchi vijayam saadhinchaalani korukuntunnanu,
C000746,Kanglish,Hate Speech,Yav Ree dislike kodoru kannada movies belibek fist kannada next hero's elru nammavare...,
C000748,Tanglish,Offensive,"Ivar mattum Bethovans tune huh copy adikalam, ithulam ivaruku thapa theriyala.",
C000749,Kannada,Offensive,ನಿಮ್ಮ ಅಂತಾ ಅರ್ಧ ಬರ್ದ ಫ್ಯಾನ್ ಅವಶ್ಯಕತೆ ನಮ್ boss ge ಬೇಡ ಹೋಗೋಲೆ ಲೌಡೆ ಷಂಡ,
C000751,Telugu,Hate Speech,శివగారు మీ anchoring చాలా చాలా బాగుందిsimply superbu have a bright future…,
C000755,Tanglish,Offensive,Oruthan ukkarunda...........?? Ratham patha payalu aana endru..Ivan sadharana aal kedayath What word that???,
C000757,Kanglish,Offensive,Gandu loafer jeena,
C000760,Telugu,Hate Speech,Ntr yentra బొడ్డు కోసి పేరు పెట్టార?? మీ వల్లే టిడిపి సగం పోయింది,
C000767,Roman Telugu,Hate Speech,pavitra baga denguchiko naresh tho,
C000768,Roman Telugu,Hate Speech,nter film same lakshmi garu chepinattu teesaaru real story am extra topics add cheyaled jai argievy nter story mothm lakshmis nter loo puurti gaa chuupimchaaru jai nter,
C000774,Tamil,Offensive,எங்க வீட்டுக்கு பக்கத்துல கூட படிச்சுக்கிட்டு இருந்த ஒரு பொண்ண கூப்பிட்டு கிட்டுபோய் 10 நாள் குடும்பம் நடத்திட்டு அப்புறம் 5 லச்சம் பணம் கேட்டு தொரத்தி விட்டுடான். ஒரு தேவிடியா பையன். அந்த நிகழ்ச்சிக்கு அப்புறம் தான் ப்ரோ நானும் இத எல்லாம் நம்ப ஆரம்பிச்சேன்.,
C000778,Telugu,Hate Speech,Sketch వేసింది ఎవరో కూడా చెప్పండి (దమ్ము ఉంటే),
C000779,Tamil,Hate Speech,பார்ப்பனன் முன்னாடி நீயும் சூத்திரன் அப்படினா தெவிடியப்பையன் அடா பரம்பரை ஒன்னல எதிர்க்க முடியல அனா நாகா எதிர்க்குறோம் உனக்கும் செத்து,
C000782,Tanglish,Offensive,Dislikes ku porandhavaugala irupanuga pola manasachi venum etukum,
C000788,Roman Telugu,Hate Speech,konchem odd ga behave cheyadam kadandi.. .pitchandi edi..,
C000790,Tanglish,Offensive,Ena da idhu #Dunkirk bgm'a copy adicha mari iruku.. #hansZimmer paavam summa vidadu da...,
C000815,Telugu,Hate Speech,మీ లాంటి లాయరు ఉండటం మా అదృష్టం సార్మీకు ధన్యవాదాలు,
C000823,Roman Telugu,Hate Speech,hara mahadeva shambho shankara bholaa shankara namo namah om namah shivaya,
