comment,count
e 75kurma bharataswatantra desaniki nizamaina geept ichchavu anna nuvvu desamloni prathivaadu garvapadela vundi,1
Yellam ok Ore oru korai Trailer komjam munnadiye poturkalam,1
Parthasarathi ಅಂತೂ ಒಪಿಕೊಂಡಲ್ಲ ದೊಡ್ಡ ಷಂಡ ಅಂತಾ,1
Kaithi verithanamlast dialogue ...saavuratha erunthalum sanda poittu saganum sir..bayanthu kala vilunthu saga kudathu,1
too bay frankly host kante chee chaala humble gaa react ayyaru real love hiss nature,1
one and onlee mega star potthi leruraleru,1
ಸೂಪರ್ ಗುರು ಉಗಿರಿ ಟಿಕ್ ಟ್ಯಾಕ್ ಗೆ,1
Stupid Fans neenu Darshan ge huttirbeku adike avn bagge ne mathadthidiya nimman thulna keyya soole magane.nim amman thull ge kathe thunne sigaka hogi bale akolo aaa gaandu lucha thara,1
Super darling Nuvvu vachaka janamlo ooopu vachindhi,1
Waste fellow he did nothing for telengana,1
Nenu e stage raavadaniki Karanam e stage vesinollaa,1
indha bgm ah mattum ena pundaikku copy adichan indha ilayaraja 🤣.. oru vela aanama poirucho,1
Mundu.vacchinollu.peekipoyaru.eeyanocchi.peekuthadu,1
super bangaaram amma,1
ii veediyo chusina tarvaata ilanti manchi manushulu untara ani chaalaa santosham anipinchindi,1
Stupid Fans ley gaandu soole magane modlu ninnathra adu idiya antha nodkolo hodiyoke bandu hodsokondanthu hogthiya,1
నువ్వు నిజమైన హీరోవి పవర్ స్టార్ లు మెగా స్టార్ లు తెరమీద మాత్రమే హీరోలు నిజజీవితంలో వాళ్ళు జీరోలు,1
Verithanam savuratha irundha sanda potu savanum ithaaaaa Kola mass,1
"Ithu 96 u, Yaara Yemathringa!!!!!!!!!1 Ultiiiiiiii",1
திருமா என்ற குறுமக்கு சூப்பர் செருப்படி 🦍,1
மகிழ்ச்சி. . வாழ்த்துக்கள் படம் மிகப் பெரிய அளவில் வெற்றி பெறும். கடைசி வசனம் அருமை. இன்னும் 16 வருடம் போனாலும் நான் அரசியலுக்கு வருவேன் தான் சொல்லுவான். ஆனால் இப்போது எல்லாம் வர மாட்டார். வரவும் வேண்டாம்.,1
సాక్షి ఎప్పుడు కరెక్ట్ రాసింది అది ఎప్పుడు తప్పే రాస్తుంది,1
argievy tho vaaka interview plan chestunava nuvu kuudaa,1
எல்லாம் ok but தளபதி விஜய் சீன்ல சிரிச்சது எனக்கு புடிக்கல,1
Yov vera level la yeduthurkingayaThat kizhinji pona jeans,1
Thala haters lam orama poi kathurunga da pundaikala,1
neenu chusina vaelaadi funny veediyolallane top 1 lady action veediyo idhi ammai action super,1
Don't Post FAKE videos,1
mokka bhairava teaser ela but naa suriya fan taan,1
meeru famous aipoyaru akka,1
"Andhuke dhula Baga thirindhi ,annaaaa",1
"Thala fans , views ean slow ah irukudhu ? Orivelai counting agama irukka ? Enna kaaranam ?",1
Petta parak rajinians mattum ulla iru mathavanlam odi poidu vantha thangamatta,1
Vani fans like panunga Rithika fans like panunga இந்த கம்மெண்ட போட்டே பிச்சை எடுக்குறானுங்க,1
tara bhai joginder oka chinal chutiye manishi paniki malina vadu,1
Enda nala name ipdi veenaku reemga kadaramkondan enapathu evlo Periya maveeranoda name fuck,1
వరిని యాచించని జీవితం ఆయాసం లేని మరణం మరణం తరువాత నీలో ఐక్యం కావాలి అని అష్ట దిగ్గజాలు లో ఒకరు ఐన ధూర్జటి కవి చెప్పారు అదృష్ట వంతుడు,1
Prithvi swalpa otte kadme maadkoli ...you look good as well you need it as an actor...,1
Kharabbu Pogaru song Like - 317K,1
Ellati guruvu kanni boka lo aiyali,1
డబుల్ మీనింగ్ లేకుండా దమ్ముంటే కామెడీ చేసి చూపించండి రా,1
"Mannuku dha manushan mela eppayume urimai undu ellam poradhu anga dha poganum,adhu vara evlo aada mudiyumo aadunga da,nilam engal urimainu loosu maari pesinu ida othikidu vaanguringa,reserved seats la poringa naanga daily adipattu midhi pattu suthikitu irrukanum,unga ista pundaiku padam edukradhu kaala,kabali,mairunu meedhi irrukura general category veral soopuradha,padathula enna solla varanunganu theriyama loosu comment box la olaradhinga",1
middle order marchu vinnale world cuo degindhi asia cuo dengindhi poyi gully circket adukondi,1
harsha saayi fance entamandi unnaruikkada aaa maan with golden heart,1
"kunjith, kuruma, dmk moonjula kaarithupuna moment....jaathi vechi arasiyal panum ,adhuvum mukyama sc ku supprt panranu paerla nadathra nadagama pottu odachitaaru director🤣🤣🤣",1
Re e video post agiddu yavaga apps ban agirodu yavaga adu moldu nodir sumne yeneno mathadbedi,1
Parthasarathi ನಂದಿನಿ ನಿನ್ ಮಲೆ ಹೀಚುಗ,1
ninu chustunte kgf cinemalo rockie boy gurthuku vastunnadu,1
1:10 Note : Engineering padicha velai ila,1
Yerripooka,1
"அடேய் அப்பிரசண்டிகளா . இளையராஜா பீத்தோவனோட fur elise அ காப்பி பண்ணிட்டார்னு உளறாதீங்கடா. Descriptionல தெளிவா போட்ருக்கே டிரைலர் மியூசிக் மிஷ்கின் னு.fur elise ரொம்ப பாப்புலர் ஆன டியூன்.அத நிறைய கார்ட்டூன்,டிவி ஷோ,படங்கள் ல பயன்படுத்துவாங்க.அதே மாதிரி மிஷ்கின் அந்த டியூன இந்த டிரைலர்க்கு பயன்படுத்திகிட்டார்.அவ்ளோ தான்.உடனே இளையராஜா காப்பிகேட்னு ஒரு கூட்டம் கிளம்புது.ஏன்டா காப்பி அடிச்சாலும் இவ்ளோ famous ஆன டியூன் அ வாடா காப்பி அடிப்பாங்க🤦‍🤦‍",1
"முத்தையா : மண்ணை தொட்டவன் கூட விட்ரலாம், ஆனா நம்ம v2 பொண்ண தொட்டவன விட கூடாது..... மோகன் ஜீ : எங்களுக்கு மண்ணும், பொண்ணும் ஒன்னு தான், அதுல எவன் கை வச்சாலும் வெட்டுவோம்..... நம்ம வீட்டு பொண்ணுங்க பாதுகாப்பு பத்தி பேசுற படம்..... இதுல கூட ஜாதி தெரிஞ்ச, நீ தான் லூசு கூ",1
அறிவீழியகளா ஜாதியை ஒழிக்கிறேன்ற பேர்ல படம் எடுத்து இன்னும் ஜாதி வெறிய தூண்டதான் செய்றிங்க உங்க அரசியல் இன்னும் பலருக்கு தெரியல,1
BOY yappa Modlu Arta ago Tara type maadu,1
Ae ithu 96' uu yara emathuringa...,1
