comment_id,platform,platform_original,comment,language,script,english_translation,translation_status,category,category_original,label,severity,toxicity_score,sentiment
C000024,Other,Telegram,"Chudu, Neeku burra ledha ila maatladatavu Arthamaindha?",Roman Telugu,Roman,"look, have you lost your mind, talking like this got it?",translated,Offensive,Offensive,1,Medium,0.56,Negative
C000025,Other,Instagram,"Mava, Nee voice chala sexy-ga undi, call cheddam raatri Ok na? ...",Roman Telugu,Roman,"bro, your voice is so sexy, let's call at night ok?",translated,Sexual Harassment,Misogyny,3,High,0.63,Negative
C000026,X,Twitter/X,"ఊరికే చెప్తున్నా, ఎందుకు అంత నెగెటివ్‌గా ఉంటావ్ ఎప్పుడూ ??",Telugu,Telugu,"just saying, why are you always so negative",translated,Offensive,Offensive,1,Medium,0.4,Neutral
C000027,Other,Telegram,"ఇలా చూడు, ఇలా కంటిన్యూ చేస్తే నీ లొకేషన్ ఎవరికైనా ఇస్తా అర్థమైందా? 😢",Telugu,Telugu,"see here, if you continue like this I'll give your location to someone got it?",translated,Threat,Threat,4,High,0.89,Negative
C000028,YouTube,YouTube,"Ila chudu, Workplace-lo safety gurinchi ee charcha bagundi Anthe. 😢",Roman Telugu,Roman,"see here, this discussion on workplace safety is good that's it.",translated,Safe,Neutral,0,Low,0.03,Positive
C000029,YouTube,YouTube,"Honestly, this initiative is great, we need more like this 😤",English,Roman,"honestly, this initiative is great, we need more like this",not_required_english,Safe,Neutral,0,Low,0.02,Positive
C000030,YouTube,YouTube,"Vinu, Ilanti apps mahilaku chala upayogapadatayi ??",Roman Telugu,Roman,"listen, apps like these are very useful for women",translated,Safe,Neutral,0,Low,0.07,Neutral
C000031,X,Twitter/X,"ఏయ్, వీళ్ళకి ఎప్పుడూ విక్టిమ్ కార్డ్ ప్లే చేయడమే తెలుసు #WomenSafety",Telugu,Telugu,"hey, they only know how to play the victim card all the time",translated,Hate Speech,Hate,2,High,0.67,Negative
C000032,YouTube,YouTube,It's because of women like these that men suffer #WomenSafety,English,Roman,it's because of women like these that men suffer,not_required_english,Hate Speech,Hate,2,High,0.66,Negative
C000033,YouTube,YouTube,"See here, you can find better content anywhere than this seriously.",English,Roman,"see here, you can find better content anywhere than this seriously.",not_required_english,Offensive,Offensive,1,Medium,0.65,Neutral
C000034,YouTube,YouTube,"By the way, women don't really want equality, they just want special treatment seriously. ??",English,Roman,"by the way, women don't really want equality, they just want special treatment seriously.",not_required_english,Hate Speech,Hate,2,High,0.58,Negative
C000035,Other,Instagram,"Nijam cheppalante, Idi aakhari warning, tarvatha nenu emi chesina neede badhyatha Idi final.",Roman Telugu,Roman,"honestly, this is the last warning, whatever I do after this is your responsibility this is final.",translated,Threat,Threat,4,High,0.86,Negative
C000036,Other,Instagram,"Look, shut your mouth, this has nothing to do with you really. ??",English,Roman,"look, shut your mouth, this has nothing to do with you really.",not_required_english,Offensive,Offensive,1,Medium,0.52,Neutral
C000037,YouTube,YouTube,"Look, don't know whether to laugh or cry seeing this ok? smh",English,Roman,"look, don't know whether to laugh or cry seeing this ok?",not_required_english,Offensive,Offensive,1,Medium,0.44,Neutral
C000038,X,Twitter/X,"Bro, we need more positive content like this remember this. smh",English,Roman,"bro, we need more positive content like this remember this.",not_required_english,Safe,Neutral,0,Low,0.01,Positive
C000039,Other,ShareChat,"Listen, downloading women's safety apps is a good idea trust me.",English,Roman,"listen, downloading women's safety apps is a good idea trust me.",not_required_english,Safe,Neutral,0,Low,0.05,Positive
C000040,YouTube,YouTube,"మావా, ఇలాంటి ఆడవాళ్ళే అసలు సమస్యలకి కారణం ఇది ఫైనల్. smh",Telugu,Telugu,"bro, women like these are the real cause of problems this is final.",translated,Hate Speech,Hate,2,High,0.62,Negative
C000041,YouTube,YouTube,"See here, I won't leave you alone, watch what happens remember this. 😡",English,Roman,"see here, I won't leave you alone, watch what happens remember this.",not_required_english,Threat,Threat,4,High,0.9,Negative
C000042,X,Twitter/X,"Chudu, Diniki emaina artham unda, waste of time Nijanga. !!!",Roman Telugu,Roman,"look, does this even make sense, total waste of time really.",translated,Offensive,Offensive,1,Medium,0.51,Negative
C000043,YouTube,YouTube,Ilanti adavalle asalu samasyalaki karanam Seriously-ga. 😡,Roman Telugu,Roman,women like these are the real cause of problems seriously.,translated,Hate Speech,Hate,2,High,0.76,Negative
C000044,YouTube,YouTube,"One thing, girls like you should reply to my messages right that's it. smh",English,Roman,"one thing, girls like you should reply to my messages right that's it.",not_required_english,Sexual Harassment,Misogyny,3,High,0.8,Negative
C000045,X,Twitter/X,"Bro, they're all part of the same group, can't be trusted this is true. !!!",English,Roman,"bro, they're all part of the same group, can't be trusted this is true.",not_required_english,Hate Speech,Hate,2,High,0.79,Negative
C000046,Other,Telegram,"Urike cheptunna, Policelu ilanti case-lo veganga spandinchadam manchi parinamam Idi nijam. 😔",Roman Telugu,Roman,"just saying, it's a good sign that police are responding quickly in such cases this is true.",translated,Safe,Neutral,0,Low,0.03,Neutral
C000047,YouTube,YouTube,"Hey, Workplace-lo safety gurinchi ee charcha bagundi Seriously-ga. 🙄",Roman Telugu,Roman,"hey, this discussion on workplace safety is good seriously.",translated,Safe,Neutral,0,Low,0.09,Positive
C000048,YouTube,YouTube,"Honestly, women have no sense, that's why they post like this smh",English,Roman,"honestly, women have no sense, that's why they post like this",not_required_english,Hate Speech,Hate,2,High,0.76,Negative
C000049,YouTube,YouTube,"See here, you clearly explained who to contact for help got it? 😢",English,Roman,"see here, you clearly explained who to contact for help got it?",not_required_english,Safe,Neutral,0,Low,0.11,Neutral
C000050,YouTube,YouTube,"విను, నీ లెవెల్ చూస్తే జాలిగా ఉంది ...",Telugu,Telugu,"listen, seeing your level is honestly pitiful",translated,Offensive,Offensive,1,Medium,0.43,Negative
C000051,X,Twitter/X,"Okka maata, Help kavalante evarini sampradhinchalo spashtamga cheppāru Seriously-ga. 😡",Roman Telugu,Roman,"one thing, you clearly explained who to contact for help seriously.",translated,Safe,Neutral,0,Low,0.02,Positive
C000052,YouTube,YouTube,"Look, you clearly explained who to contact for help this is final. 😤",English,Roman,"look, you clearly explained who to contact for help this is final.",not_required_english,Safe,Neutral,0,Low,0.01,Neutral
C000053,X,Twitter/X,"See here, add me on WhatsApp, let's talk privately ok? 😢",English,Roman,"see here, add me on WhatsApp, let's talk privately ok?",not_required_english,Sexual Harassment,Misogyny,3,High,0.63,Neutral
C000054,YouTube,YouTube,"By the way, Chattaparamaina hakkula gurinchi ilanti samacharam chala viluvainadi Nijanga.",Roman Telugu,Roman,"by the way, information like this on legal rights is very valuable really.",translated,Safe,Neutral,0,Low,0.1,Positive
C000055,Other,Telegram,"By the way, people like you shouldn't be given any attention at all remember this. 😤",English,Roman,"by the way, people like you shouldn't be given any attention at all remember this.",not_required_english,Offensive,Offensive,1,Medium,0.52,Negative
C000056,YouTube,YouTube,"Nijam cheppalante, Nuvvu maatladedi eppudu artham lekunda untundi Nijanga. ??",Roman Telugu,Roman,"honestly, what you say never makes any sense really.",translated,Offensive,Offensive,1,Medium,0.4,Neutral
C000057,Other,Telegram,"Just saying, you can find better content anywhere than this this is final. #WomenSafety",English,Roman,"just saying, you can find better content anywhere than this this is final.",not_required_english,Offensive,Offensive,1,Medium,0.39,Neutral
C000058,Other,Instagram,"Okka maata, Inta manchi look unna ammayini ignore cheyalenu Idi nijam. 😡",Roman Telugu,Roman,"one thing, I can't ignore a girl who looks this good this is true.",translated,Sexual Harassment,Misogyny,3,High,0.78,Negative
C000059,YouTube,YouTube,"One thing, girls like you should reply to my messages right got it? 🔥",English,Roman,"one thing, girls like you should reply to my messages right got it?",not_required_english,Sexual Harassment,Misogyny,3,High,0.83,Negative
C000060,YouTube,YouTube,"Hey, School-lalo cyber safety gurinchi classulu pettali Nammu nannu. 🙄",Roman Telugu,Roman,"hey, schools should conduct classes on cyber safety trust me.",translated,Safe,Neutral,0,Low,0.14,Positive
C000061,YouTube,YouTube,"By the way, if you don't reply to this comment I'll come to your DM this is true. 🙄",English,Roman,"by the way, if you don't reply to this comment I'll come to your DM this is true.",not_required_english,Sexual Harassment,Misogyny,3,High,0.68,Neutral
C000062,YouTube,YouTube,ఎందుకు అంత నెగెటివ్‌గా ఉంటావ్ ఎప్పుడూ ఇది ఫైనల్. 🔥,Telugu,Telugu,why are you always so negative this is final.,translated,Offensive,Offensive,1,Medium,0.54,Negative
C000063,YouTube,YouTube,"Look, it's a good sign that police are responding quickly in such cases trust me. ...",English,Roman,"look, it's a good sign that police are responding quickly in such cases trust me.",not_required_english,Safe,Neutral,0,Low,0.03,Positive
C000064,Other,Koo,"Honestly, you'd look even better in this dress, post another pose smh",English,Roman,"honestly, you'd look even better in this dress, post another pose",not_required_english,Sexual Harassment,Misogyny,3,High,0.6,Negative
C000065,X,Twitter/X,"Urike cheptunna, Ee post chalamandiki sahayapadutundi Gurthu pettuko. 🙄",Roman Telugu,Roman,"just saying, this post will help a lot of people remember this.",translated,Safe,Neutral,0,Low,0.06,Positive
C000066,YouTube,YouTube,"నిజం చెప్పాలంటే, నీకు తగిన బుద్ధి చెప్పే రోజు వస్తుంది, ఆగు నమ్ము నన్ను. !!!",Telugu,Telugu,"honestly, the day will come when you're taught a lesson, wait trust me.",translated,Threat,Threat,4,High,0.85,Negative
C000067,YouTube,YouTube,"విను, ఆడవాళ్ళు సోషల్ మీడియాలో ఉండకూడదు ఇది ఫైనల్. ??",Telugu,Telugu,"listen, women shouldn't even be on social media this is final.",translated,Hate Speech,Hate,2,High,0.62,Neutral
C000068,Other,Telegram,"Listen, I won't leave you alone, watch what happens 😡",English,Roman,"listen, I won't leave you alone, watch what happens",not_required_english,Threat,Threat,4,High,0.86,Negative
C000069,YouTube,YouTube,"Okka maata, Ee community chala supportive-ga undi Ok na? smh",Roman Telugu,Roman,"one thing, this community is very supportive ok?",translated,Safe,Neutral,0,Low,0.05,Neutral
C000070,YouTube,YouTube,"Chudu, School-lalo cyber safety gurinchi classulu pettali Seriously-ga. 😔",Roman Telugu,Roman,"look, schools should conduct classes on cyber safety seriously.",translated,Safe,Neutral,0,Low,0.08,Neutral
C000071,YouTube,YouTube,"Look, post another selfie, closer ok? !!!",English,Roman,"look, post another selfie, closer ok?",not_required_english,Sexual Harassment,Misogyny,3,High,0.67,Negative
C000072,X,Twitter/X,"See here, this community is very supportive seriously. #WomenSafety",English,Roman,"see here, this community is very supportive seriously.",not_required_english,Safe,Neutral,0,Low,0.07,Neutral
C000073,YouTube,YouTube,"Hey, Ilanti chettha aalochanalu ekkada nerchukunnav Anthe. ...",Roman Telugu,Roman,"hey, where did you learn such trashy thinking that's it.",translated,Offensive,Offensive,1,Medium,0.54,Neutral
C000074,Other,Koo,"చూడు, ఇలాంటి కంటెంట్ పెట్టేవాళ్ళు అందరూ ఒకే రకం అంతే. smh",Telugu,Telugu,"look, everyone who posts content like this is the same kind that's it.",translated,Hate Speech,Hate,2,High,0.58,Negative
C000075,Other,Telegram,"By the way, Adavallu social media-lo undakudadu Arthamaindha?",Roman Telugu,Roman,"by the way, women shouldn't even be on social media got it?",translated,Hate Speech,Hate,2,High,0.78,Negative
C000076,YouTube,YouTube,"Mava, Waste fellow, enduku ilanti post pedatavu Gurthu pettuko. 😔",Roman Telugu,Roman,"bro, waste fellow, why do you post nonsense like this remember this.",translated,Offensive,Offensive,1,Medium,0.39,Negative
C000077,YouTube,YouTube,"Hey, every woman deserves to feel safe this is final.",English,Roman,"hey, every woman deserves to feel safe this is final.",not_required_english,Safe,Neutral,0,Low,0.11,Neutral
C000078,Other,Koo,"Chudu, Vellandaru chesedi kevalam drama-ne Ok na? 😔",Roman Telugu,Roman,"look, all they do is drama ok?",translated,Hate Speech,Hate,2,High,0.65,Negative
C000079,Other,Koo,"చూడు, సైబర్ భద్రత గురించి ఇలాంటి సమాచారం చాలా మందికి అవసరం ఇది నిజం. smh",Telugu,Telugu,"look, information like this on cyber safety is needed by many people this is true.",translated,Safe,Neutral,0,Low,0.08,Neutral
C000080,Other,Telegram,"ఇలా చూడు, నీ నెంబర్ ఇవ్వు, రోజూ మాట్లాడదాం స్పెషల్‌గా అంతే.",Telugu,Telugu,"see here, give me your number, let's talk specially every day that's it.",translated,Sexual Harassment,Misogyny,3,High,0.85,Negative
C000081,YouTube,YouTube,"Hey, Ilanti helpline numbarlu andariki teliyajeyali Seriously-ga. 😡",Roman Telugu,Roman,"hey, helpline numbers like this should be made known to everyone seriously.",translated,Safe,Neutral,0,Low,0.1,Positive
C000082,YouTube,YouTube,"Nijam cheppalante, Policelu ilanti case-lo veganga spandinchadam manchi parinamam Gurthu pettuko.",Roman Telugu,Roman,"honestly, it's a good sign that police are responding quickly in such cases remember this.",translated,Safe,Neutral,0,Low,0.1,Neutral
C000083,Other,Telegram,"Ila chudu, Ee dress-lo inka baga kanipistavu, inko pose pettu Idi final. 🙄",Roman Telugu,Roman,"see here, you'd look even better in this dress, post another pose this is final.",translated,Sexual Harassment,Misogyny,3,High,0.81,Negative
C000084,YouTube,YouTube,"మావా, ఆడవాళ్ళకి నెట్ యాక్సెస్ ఇవ్వడమే పెద్ద తప్పు అర్థమైందా? 😢",Telugu,Telugu,"bro, giving women internet access itself was a big mistake got it?",translated,Hate Speech,Hate,2,High,0.64,Negative
C000085,YouTube,YouTube,"Mava, Vallaki eppudu edo oka complaint untundi anthe Idi nijam. 😡",Roman Telugu,Roman,"bro, they always have some complaint or the other, that's it this is true.",translated,Hate Speech,Hate,2,High,0.82,Negative
C000086,X,Twitter/X,"నిజం చెప్పాలంటే, నీ కామెంట్లు చదివితే తలనొప్పి వస్తుంది అర్థమైందా? !!!",Telugu,Telugu,"honestly, reading your comments gives me a headache got it?",translated,Offensive,Offensive,1,Medium,0.57,Negative
C000087,Other,Telegram,"Look, they only know how to play the victim card all the time 🙄",English,Roman,"look, they only know how to play the victim card all the time",not_required_english,Hate Speech,Hate,2,High,0.59,Negative
C000088,YouTube,YouTube,"Mava, Ilanti helpline numbarlu andariki teliyajeyali Arthamaindha? ??",Roman Telugu,Roman,"bro, helpline numbers like this should be made known to everyone got it?",translated,Safe,Neutral,0,Low,0.13,Positive
C000089,YouTube,YouTube,"ఊరికే చెప్తున్నా, ఆడవాళ్ళు ఎప్పుడూ ఓవర్‌గా రియాక్ట్ అవుతారు అంతే. ??",Telugu,Telugu,"just saying, women always overreact that's it.",translated,Hate Speech,Hate,2,High,0.81,Negative
C000090,Other,Koo,"Honestly, women should stay home, not come online ok?",English,Roman,"honestly, women should stay home, not come online ok?",not_required_english,Hate Speech,Hate,2,High,0.59,Negative
C000091,YouTube,YouTube,"Chudu, Ninnu vadalanu, chusthu undu em jarugutundo Nijanga. #WomenSafety",Roman Telugu,Roman,"look, I won't leave you alone, watch what happens really.",translated,Threat,Threat,4,High,0.97,Negative
C000092,YouTube,YouTube,"Nijam cheppalante, Adavallu eppudu over-ga react avutharu Ok na? 🙄",Roman Telugu,Roman,"honestly, women always overreact ok?",translated,Hate Speech,Hate,2,High,0.58,Negative
C000093,YouTube,YouTube,"Nijam cheppalante, Ilanti helpline numbarlu andariki teliyajeyali Gurthu pettuko. 🙄",Roman Telugu,Roman,"honestly, helpline numbers like this should be made known to everyone remember this.",translated,Safe,Neutral,0,Low,0.1,Positive
C000094,X,Twitter/X,"Vinu, Nee voice chala sexy-ga undi, call cheddam raatri Anthe. 🔥",Roman Telugu,Roman,"listen, your voice is so sexy, let's call at night that's it.",translated,Sexual Harassment,Misogyny,3,High,0.72,Negative
C000095,YouTube,YouTube,With that stupid logic you always post nonsense like this remember this. 😢,English,Roman,with that stupid logic you always post nonsense like this remember this.,not_required_english,Offensive,Offensive,1,Medium,0.63,Negative
C000096,YouTube,YouTube,"Honestly, without you this page wouldn't be this interesting really. 😔",English,Roman,"honestly, without you this page wouldn't be this interesting really.",not_required_english,Sexual Harassment,Misogyny,3,High,0.76,Neutral
C000097,Other,Telegram,Ilanti helpline numbarlu andariki teliyajeyali,Roman Telugu,Roman,helpline numbers like this should be made known to everyone,translated,Safe,Neutral,0,Low,0.05,Positive
C000098,YouTube,YouTube,"Hey, Okka message-ki reply ivvu, emi kaadu anthe Arthamaindha? 😔",Roman Telugu,Roman,"hey, just reply to one message, nothing else, that's it got it?",translated,Sexual Harassment,Misogyny,3,High,0.62,Negative
C000099,Other,Telegram,"Hey, women have no sense, that's why they post like this really. 😤",English,Roman,"hey, women have no sense, that's why they post like this really.",not_required_english,Hate Speech,Hate,2,High,0.82,Negative
C000100,Other,Koo,"Nijam cheppalante, Ee comment chusi reply ivvakapothe nee DM-ki vasta smh",Roman Telugu,Roman,"honestly, if you don't reply to this comment I'll come to your DM",translated,Sexual Harassment,Misogyny,3,High,0.85,Negative
C000101,Other,Facebook,"బై ద వే, మహిళల భద్రత గురించి మాట్లాడటం చాలా ముఖ్యం ...",Telugu,Telugu,"by the way, talking about women's safety is very important",translated,Safe,Neutral,0,Low,0.14,Positive
C000102,X,Twitter/X,"మావా, ప్రతి అమ్మాయికి ఇలాంటి సేఫ్టీ టిప్స్ తెలియాలి నిజంగా. 🙄",Telugu,Telugu,"bro, every girl should know safety tips like these really.",translated,Safe,Neutral,0,Low,0.05,Neutral
C000103,YouTube,YouTube,వెధవ లాజిక్‌తో ఎప్పుడూ ఇలాంటి పోస్టులే పెడతావ్ ఇది ఫైనల్. 🙄,Telugu,Telugu,with that stupid logic you always post nonsense like this this is final.,translated,Offensive,Offensive,1,Medium,0.65,Negative
C000104,Other,Instagram,"Bro, people like you shouldn't be given any attention at all ok? 😡",English,Roman,"bro, people like you shouldn't be given any attention at all ok?",not_required_english,Offensive,Offensive,1,Medium,0.48,Negative
C000105,Other,ShareChat,"ఒక్క మాట, స్కూళ్ళలో సైబర్ సేఫ్టీ గురించి క్లాసులు పెట్టాలి అంతే. 🔥",Telugu,Telugu,"one thing, schools should conduct classes on cyber safety that's it.",translated,Safe,Neutral,0,Low,0.05,Positive
C000106,Other,Koo,"Urike cheptunna, Adavallaki sontha opinion undadu, evaro cheppindi vaadataru Idi nijam. 🙄",Roman Telugu,Roman,"just saying, women don't have their own opinions, they just repeat what someone told them this is true.",translated,Hate Speech,Hate,2,High,0.63,Negative
C000107,YouTube,YouTube,"ఊరికే చెప్తున్నా, ఈ జనరేషన్ ఆడవాళ్ళు రెస్పెక్ట్ ఇవ్వడానికి అసలు అర్హులు కాదు ఇది నిజం. 😡",Telugu,Telugu,"just saying, this generation of women don't even deserve respect this is true.",translated,Hate Speech,Hate,2,High,0.82,Negative
C000108,Other,Facebook,"ఊరికే చెప్తున్నా, వీళ్ళు అందరూ ఒకటే గ్రూప్‌లో ఉంటారు, నమ్మడానికి లేదు 🔥",Telugu,Telugu,"just saying, they're all part of the same group, can't be trusted",translated,Hate Speech,Hate,2,High,0.73,Negative
C000109,YouTube,YouTube,"Vinu, Nuvvu anukunnanta safe-ga levu ikkada Nijanga. 😢",Roman Telugu,Roman,"listen, you're not as safe here as you think really.",translated,Threat,Threat,4,High,0.84,Negative
C000110,YouTube,YouTube,"Chudu, Policelu ilanti case-lo veganga spandinchadam manchi parinamam 🔥",Roman Telugu,Roman,"look, it's a good sign that police are responding quickly in such cases",translated,Safe,Neutral,0,Low,0.14,Neutral
C000111,YouTube,YouTube,"విను, వీళ్ళకి ఎప్పుడూ ఏదో ఒక కంప్లైంట్ ఉంటుంది అంతే ఓకే నా? ...",Telugu,Telugu,"listen, they always have some complaint or the other, that's it ok?",translated,Hate Speech,Hate,2,High,0.77,Negative
C000112,YouTube,YouTube,"Listen, send me some of your photos privately remember this. 🙄",English,Roman,"listen, send me some of your photos privately remember this.",not_required_english,Sexual Harassment,Misogyny,3,High,0.68,Negative
C000113,Other,ShareChat,"Look, if you don't reply to this comment I'll come to your DM ok? #WomenSafety",English,Roman,"look, if you don't reply to this comment I'll come to your DM ok?",not_required_english,Sexual Harassment,Misogyny,3,High,0.68,Neutral
C000114,Other,Koo,"మావా, ఇలాంటి పాజిటివ్ కంటెంట్ ఇంకా రావాలి గుర్తు పెట్టుకో. !!!",Telugu,Telugu,"bro, we need more positive content like this remember this.",translated,Safe,Neutral,0,Low,0.1,Neutral
C000115,YouTube,YouTube,I want to spend time alone with you trust me. 😔,English,Roman,I want to spend time alone with you trust me.,not_required_english,Sexual Harassment,Misogyny,3,High,0.67,Neutral
C000116,Other,Instagram,"Listen, you clearly explained who to contact for help got it? #WomenSafety",English,Roman,"listen, you clearly explained who to contact for help got it?",not_required_english,Safe,Neutral,0,Low,0.03,Positive
C000117,YouTube,YouTube,"One thing, it's hard to control myself seeing you 🙄",English,Roman,"one thing, it's hard to control myself seeing you",not_required_english,Sexual Harassment,Misogyny,3,High,0.66,Neutral
C000118,Other,ShareChat,"By the way, Ee post chalamandiki sahayapadutundi Arthamaindha? 🔥",Roman Telugu,Roman,"by the way, this post will help a lot of people got it?",translated,Safe,Neutral,0,Low,0.13,Positive
C000119,Other,Telegram,"Honestly, with that stupid logic you always post nonsense like this this is final. smh",English,Roman,"honestly, with that stupid logic you always post nonsense like this this is final.",not_required_english,Offensive,Offensive,1,Medium,0.55,Negative
C000120,YouTube,YouTube,"Hey, apps like these are very useful for women really. ...",English,Roman,"hey, apps like these are very useful for women really.",not_required_english,Safe,Neutral,0,Low,0.11,Positive
C000121,Other,Instagram,"ఊరికే చెప్తున్నా, వీళ్ళకి ఎప్పుడూ విక్టిమ్ కార్డ్ ప్లే చేయడమే తెలుసు నిజంగా.",Telugu,Telugu,"just saying, they only know how to play the victim card all the time really.",translated,Hate Speech,Hate,2,High,0.83,Neutral
C000122,YouTube,YouTube,Girls like you should reply to my messages right really. 😢,English,Roman,girls like you should reply to my messages right really.,not_required_english,Sexual Harassment,Misogyny,3,High,0.82,Negative
C000123,Other,Telegram,"బై ద వే, నీలాంటి వాళ్ళకి అటెన్షన్ ఇవ్వకూడదు అసలు అంతే. ??",Telugu,Telugu,"by the way, people like you shouldn't be given any attention at all that's it.",translated,Offensive,Offensive,1,Medium,0.44,Neutral
C000124,X,Twitter/X,"విను, ఇలాంటి ఆడవాళ్ళ వల్లే మగవాళ్ళు బాధపడేది ఇది నిజం. 🙄",Telugu,Telugu,"listen, it's because of women like these that men suffer this is true.",translated,Hate Speech,Hate,2,High,0.67,Negative
C000125,YouTube,YouTube,"Chudu, Ninnu ekkadaina chuste urukonu, gurthu pettuko Arthamaindha?",Roman Telugu,Roman,"look, if I see you anywhere, I won't let it go, remember that got it?",translated,Threat,Threat,4,High,0.85,Negative
C000126,Other,ShareChat,"Just saying, we need more positive content like this this is final. 😔",English,Roman,"just saying, we need more positive content like this this is final.",not_required_english,Safe,Neutral,0,Low,0.15,Positive
