comment_id,language,category,comment,english_translation,severity,sentiment,toxicity_score,flag_reason,reviewer_verdict,corrected_category
C054324,Roman Telugu,Offensive,"Ila chudu, Ilanti chettha aalochanalu ekkada nerchukunnav Idi final. 😤","see here, where did you learn such trashy thinking this is final.",Medium,Neutral,0.49,sentiment=Neutral but category=Offensive,,
C011353,Tanglish,Hate Speech,1999 :padappa-vali now 2019 petta -viswasam,,High,Negative,0.85,random baseline (calibration),,
C052047,Telugu,Hate Speech,"చూడు, వీళ్ళకి ఎప్పుడూ ఏదో ఒక కంప్లైంట్ ఉంటుంది అంతే గుర్తు పెట్టుకో. smh","look, they always have some complaint or the other, that's it remember this.",High,Neutral,0.63,sentiment=Neutral but category=Hate Speech,,
C062173,Telugu,Offensive,"బై ద వే, ఇలాంటి పోస్టులు పెట్టేముందు కామన్‌సెన్స్ వాడు అంతే. ??","by the way, use some common sense before posting things like this that's it.",Medium,Neutral,0.47,sentiment=Neutral but category=Offensive,,
C052643,Telugu,Offensive,"ఏయ్, నీ కామెంట్లు చదివితే తలనొప్పి వస్తుంది ఇది నిజం. 😢","hey, reading your comments gives me a headache this is true.",Medium,Neutral,0.6,sentiment=Neutral but category=Offensive,,
C067009,Telugu,Hate Speech,"ఊరికే చెప్తున్నా, వీళ్ళకి ఎప్పుడూ ఏదో ఒక కంప్లైంట్ ఉంటుంది అంతే అంతే. 🙄","just saying, they always have some complaint or the other, that's it that's it.",High,Negative,0.74,random baseline (calibration),,
C050489,Telugu,Offensive,"విను, నోరు మూసుకో, నీకు సంబంధం లేదు ఇందులో నమ్ము నన్ను. 🙄","listen, shut your mouth, this has nothing to do with you trust me.",Medium,Neutral,0.54,sentiment=Neutral but category=Offensive,,
C054065,Roman Telugu,Offensive,"Chudu, Nuvvu maatladedi eppudu artham lekunda untundi 🙄","look, what you say never makes any sense",Medium,Neutral,0.47,sentiment=Neutral but category=Offensive,,
C051641,Telugu,Hate Speech,"ఇలా చూడు, వీళ్ళకి ఎప్పుడూ విక్టిమ్ కార్డ్ ప్లే చేయడమే తెలుసు నమ్ము నన్ను. #WomenSafety","see here, they only know how to play the victim card all the time trust me.",High,Neutral,0.75,sentiment=Neutral but category=Hate Speech,,
C065267,Roman Telugu,Offensive,"Chudu, Neeku burra ledha ila maatladatavu Nammu nannu.","look, have you lost your mind, talking like this trust me.",Medium,Neutral,0.39,sentiment=Neutral but category=Offensive,,
C015563,Tamil,Hate Speech,Kuruma boys kku கை ஒதருதா உள்ள பதருதா,,High,Negative,0.89,random baseline (calibration),,
C021175,Kannada,Hate Speech,MONSTER_KANNADA shetty Davi lowdan Lovezz Candy ಅಂತಾ blind followersಗೆ ಈ ರೀತಿ ಅರ್ಥ ಮಾಡಿಸಬೇಕಾ???? ನೆನ್ನೆ ಮೊನ್ನೆ ಲಬೊ ಲಬೋ ಅಂತ ಬಾಯಿ ಬಡ್ಕೋತಿದ್ದ..... ಇವತ್ತು ಅದೆಲ್ಲಿ ಹೋದನೊ???? mobile no. ಹಾಕೋಕು ಹೆದರಿಕೆ ಬೋಳಿಮಗನಿಗೆ..... ಸುಮ್ನೆ ಬಾಯಿ ಹರಿದುಕೊಂಡು ಅಮ್ಮನ್ ಅಕ್ಕನ್ ಅನ್ನೋದಲ್ಲ..... ನೀವೂ ಗಂಡಸರೆ ಆಗಿದ್ರೆ ನಿಮ್ ನಂಬರ್ ಹಾಕ್ರೋ ಬೇವರ್ಸಿ ಬೋಳಿಕೆಗಳ..... ಥೂ ನಿಮ್ ಜನ್ಮಕಿಷ್ಟು ಬೆಂಕಿ ಹಾಕ.....,,High,Negative,0.85,random baseline (calibration),,
C031587,Tanglish,Hate Speech,Aiyoo innum ethana varshm aagum padam varaduku,,High,Negative,0.81,random baseline (calibration),,
C053903,Telugu,Offensive,"చూడు, ఇలాంటి వాళ్ళని చూస్తే జాలి కూడా వేయదు అంతే.","look, seeing people like this doesn't even evoke pity that's it.",Medium,Neutral,0.54,sentiment=Neutral but category=Offensive,,
C061024,Roman Telugu,Offensive,"Okka maata, Vedhava logic-tho eppudu ilanti postule pedatav Nammu nannu. 😢","one thing, with that stupid logic you always post nonsense like this trust me.",Medium,Neutral,0.56,sentiment=Neutral but category=Offensive,,
C009124,Kannada,Hate Speech,nagu ನಾನು ಹೇಳ್ತಿರೋದು ಇಷ್ಟೇ ಥಿಯೇಟರ್ ಅಲ್ಲೂ ನೋಡಲ್ಲ atleast ಮೊಬೈಲ್ ಆದ್ರು amazon ಅಲ್ಲಿ ನಿಯತ್ತಾಗಿ ನೋಡಿ nPiracy telegram ಅಲ್ಲಿ ನೋಡ್ಬೇಡಿ ಅಂತಾ,,High,Negative,0.87,random baseline (calibration),,
C055599,Roman Telugu,Hate Speech,"By the way, Ilanti adavalla valle magavallu badhapadedi 😔","by the way, it's because of women like these that men suffer",High,Neutral,0.76,sentiment=Neutral but category=Hate Speech,,
C063385,Telugu,Offensive,ఇలాంటి చెత్త ఆలోచనలు ఎక్కడ నేర్చుకున్నావ్ ఇది ఫైనల్. 🙄,where did you learn such trashy thinking this is final.,Medium,Negative,0.43,random baseline (calibration),,
C062073,Telugu,Hate Speech,"ఏయ్, ఆడవాళ్ళు ఇంట్లో ఉండాలి, ఆన్‌లైన్‌కి రావద్దు అంతే.","hey, women should stay home, not come online that's it.",High,Neutral,0.66,sentiment=Neutral but category=Hate Speech,,
C062411,Telugu,Offensive,"ఇలా చూడు, ఏం బుద్ధి లేకుండా మాట్లాడతావ్ నువ్వు సీరియస్‌గా. 😔","see here, you talk with absolutely no sense seriously.",Medium,Negative,0.59,random baseline (calibration),,
C051640,Telugu,Offensive,"ఊరికే చెప్తున్నా, వెధవ లాజిక్‌తో ఎప్పుడూ ఇలాంటి పోస్టులే పెడతావ్ నమ్ము నన్ను. 😔","just saying, with that stupid logic you always post nonsense like this trust me.",Medium,Neutral,0.43,sentiment=Neutral but category=Offensive,,
C034669,Tamil,Hate Speech,"நீ ஒரு பொன்ன பாக்கும்போது அவ சாதி, சொத்து, புன்ட சைஷ், அவங்க அம்மா முலை சைஷ் ல பாப்பியா..... நெஞ்சுல கைய வைச்சு சொல்லு ... You tube ahh nne mattu usepanala police um crimebranch um pakurangaa aprm nanga ethukku irukom th....... Payalugalaa..,",,High,Negative,0.84,random baseline (calibration),,
C067675,Roman Telugu,Hate Speech,"Vinu, Vallu maatladedi vinadam kuda time waste Gurthu pettuko.","listen, even listening to what they say is a waste of time remember this.",High,Neutral,0.7,sentiment=Neutral but category=Hate Speech,,
C007937,Kanglish,Hate Speech,Nonsense's who all r dislike dis video....,,High,Negative,0.88,random baseline (calibration),,
C071804,Roman Telugu,Hate Speech,"Ila chudu, Ilanti vallani seriously-ga theesukovalsina avasarame ledu Seriously-ga.","see here, there's no need to take people like this seriously at all seriously.",High,Neutral,0.64,sentiment=Neutral but category=Hate Speech,,
C019754,Tanglish,Offensive,Thalaaaaaaaaa sema mass..*tha anil kunji katharal arambam..,,Medium,Negative,0.63,random baseline (calibration),,
C067803,Telugu,Offensive,"ఒక్క మాట, ఏం బుద్ధి లేకుండా మాట్లాడతావ్ నువ్వు ఇది నిజం.","one thing, you talk with absolutely no sense this is true.",Medium,Neutral,0.54,sentiment=Neutral but category=Offensive,,
C053773,Roman Telugu,Offensive,"Nijam cheppalante, Noru moosuko, neeku sambandham ledu idulo Idi final. 🙄","honestly, shut your mouth, this has nothing to do with you this is final.",Medium,Neutral,0.49,sentiment=Neutral but category=Offensive,,
C027080,Kanglish,Hate Speech,Sir ond compeny yalli kelsa madidra gov employes labor officer bookmadkond laber ge 5000 salry kotre employe mane est kasta alva. yava gov sarilla sir nav egga comment madkondu saibeku aste,,High,Negative,0.84,random baseline (calibration),,
C006998,Kanglish,Hate Speech,Sariyagi promotion maadade cinema haal maadtarapan(Hindi Song Elranna?),,High,Negative,0.88,random baseline (calibration),,
C058878,Roman Telugu,Hate Speech,Vallaki eppudu edo oka complaint untundi anthe Idi nijam. ??,"they always have some complaint or the other, that's it this is true.",High,Neutral,0.68,sentiment=Neutral but category=Hate Speech,,
C059796,Telugu,Offensive,"విను, ఏం బుద్ధి లేకుండా మాట్లాడతావ్ నువ్వు నమ్ము నన్ను. 🔥","listen, you talk with absolutely no sense trust me.",Medium,Negative,0.43,random baseline (calibration),,
C057159,Roman Telugu,Hate Speech,"Nijam cheppalante, Vallu andaru okate group-lo untaru, nammadaniki ledu Idi final. 😡","honestly, they're all part of the same group, can't be trusted this is final.",High,Neutral,0.78,sentiment=Neutral but category=Hate Speech,,
C060330,Roman Telugu,Offensive,"Mava, Nuvvu maatladedi eppudu artham lekunda untundi Ok na?","bro, what you say never makes any sense ok?",Medium,Negative,0.59,random baseline (calibration),,
C013364,Tamil,Hate Speech,"ஆண்ட சாதியாம்ல ஆமா இவனுங்க அமைச்சனுங்க, சட்டமன்ற உறுப்பினருங்க எல்லாம் போய் ஒரு பொம்பல கால்ல விழுந்தது யாருடா... \r பெத்தவள அம்மான்னு சொல்லி கூப்பிட்டிங்க ஒகே ஆனா அந்த பொம்பளய என்ன சொன்னிங்க \r நீங்க எல்லாம் திருந்த மாட்டீங்க....",,High,Negative,0.87,random baseline (calibration),,
C054888,Roman Telugu,Offensive,"Nijam cheppalante, Nee comments chadivithe thalanoppi vastundi Gurthu pettuko. 😢","honestly, reading your comments gives me a headache remember this.",Medium,Negative,0.5,random baseline (calibration),,
C009399,Kanglish,Offensive,A hu niamman kalskodu keydu kolve baavi madi kalsthini olike eldu snana madkollivanthe thuldeepannan pans for a reason caste dogs 🤣,,Medium,Negative,0.63,random baseline (calibration),,
C008863,Tanglish,Hate Speech,Thalaivaa Padam eduththu thaalichadu paththaathunnh thalaivi padam eduththu sambavam panna vanthirukkan Director!,,High,Negative,0.89,random baseline (calibration),,
C062468,Roman Telugu,Hate Speech,"Nijam cheppalante, Adavallaki nijanga samanatvam akkarledu, prathyeka sadupayale kavali Nammu nannu. smh","honestly, women don't really want equality, they just want special treatment trust me.",High,Neutral,0.75,sentiment=Neutral but category=Hate Speech,,
C064134,Roman Telugu,Offensive,Inta chettha video eppudu chudaledu Anthe.,never seen such a trash video that's it.,Medium,Neutral,0.58,sentiment=Neutral but category=Offensive,,
C068812,Roman Telugu,Offensive,"Mava, Nuvvu maatladeముందు kaastha aalochinchu Nammu nannu. ??","bro, think a little before you speak trust me.",Medium,Neutral,0.53,sentiment=Neutral but category=Offensive,,
C074244,Roman Telugu,Hate Speech,"Chudu, Adavallu social media-lo undakudadu Idi final. 😤","look, women shouldn't even be on social media this is final.",High,Neutral,0.67,sentiment=Neutral but category=Hate Speech,,
C056149,Roman Telugu,Hate Speech,"Chudu, Ilanti adavalla valle magavallu badhapadedi Seriously-ga. 🔥","look, it's because of women like these that men suffer seriously.",High,Negative,0.64,random baseline (calibration),,
C054676,Roman Telugu,Offensive,Nee level chuste jaaliga undi Seriously-ga. 😢,seeing your level is honestly pitiful seriously.,Medium,Neutral,0.52,sentiment=Neutral but category=Offensive,,
C041140,Tanglish,Hate Speech,Trailer 4.00 mins🤦 padamey upload panirukalam,,High,Negative,0.86,random baseline (calibration),,
C074284,Roman Telugu,Offensive,"Okka maata, Nuvvu maatladedi eppudu artham lekunda untundi Idi final.","one thing, what you say never makes any sense this is final.",Medium,Neutral,0.41,sentiment=Neutral but category=Offensive,,
C066911,Telugu,Offensive,"మావా, ఇంత చెత్త వీడియో ఎప్పుడూ చూడలేదు నమ్ము నన్ను. 😡","bro, never seen such a trash video trust me.",Medium,Neutral,0.36,sentiment=Neutral but category=Offensive,,
C050444,Roman Telugu,Offensive,"Hey, Evadu adigadu nee opinion","hey, who asked for your opinion",Medium,Neutral,0.51,sentiment=Neutral but category=Offensive,,
C074940,Roman Telugu,Hate Speech,"Urike cheptunna, Vallu maatladedi vinadam kuda time waste Idi nijam. 😡","just saying, even listening to what they say is a waste of time this is true.",High,Neutral,0.66,sentiment=Neutral but category=Hate Speech,,
C017806,Kannada,Hate Speech,ಶೆಟ್ಟಿಗಳು ಎಲ್ಲಾ ಈತರ ಕಥೆ ತೆಗಿಯೋದು ಮುಖ್ಯವಲ್ಲ ಕಮರ್ಷಿಯಲ್ ಸಿನಿಮಾ ಮಾಡಿ ತೋರಿಸಿ,,High,Negative,0.85,random baseline (calibration),,
C037097,Kannada,Offensive,ಏನ ನಿಂದು ಮುಕುಳ್ಯ,,Medium,Negative,0.57,random baseline (calibration),,
C055609,Roman Telugu,Hate Speech,"Urike cheptunna, Ee generation adavallu respect ivvadaniki asalu arhulu kaadu Nijanga. 🙄","just saying, this generation of women don't even deserve respect really.",High,Neutral,0.62,sentiment=Neutral but category=Hate Speech,,
C063023,Roman Telugu,Offensive,"Chudu, Ilanti chettha aalochanalu ekkada nerchukunnav Idi nijam.","look, where did you learn such trashy thinking this is true.",Medium,Neutral,0.37,sentiment=Neutral but category=Offensive,,
C032074,Kanglish,Hate Speech,Hate the dislikers .If it is true like me,,High,Negative,0.89,random baseline (calibration),,
C009295,Kannada,Offensive,ಅವನೇ ಶ್ರೀಮಾನ್ ನಾರಾಯಣ .. ಕುಡುಕನ ವರ್ಷನ್..nnಹೇ.. ನಿಮ್ಮನ್ನೆಲ್ಲ ಯಾರೋ ಒಳಾಗ್ ಬಿಟ್ಟಿದ್ದೂ..nnನನ್ ಮುಖ ನೋಡಿ ಕೇಳ್ತಿದೀಯಾnnಬೋರ್ಡು ಕಾಣುಸ್ತಾ ಇಲ್ವಾ,,Medium,Negative,0.58,random baseline (calibration),,
